MU,CALIs
0.0,"[-0.09966799462495568, -0.09966799462495568, -0.09966799462495568, -0.09966799462495568, -0.09966799462495568, -0.09966799462495568, -0.09966799462495568, -0.09966799462495568, -0.09966799462495568]"
5e-06,"[-0.09976175455873726, -0.09981469326681414, -0.0996918339175964, -0.09877756691547945, -0.0996918339175964, -0.09653255192513, -0.09981469326681414, -0.09976175455873726, -0.09981469326681336]"
1e-05,"[-0.09807572096801298, -0.09838152293525682, -0.09798914163799888, -0.09546258833476506, -0.09798914163799888, -0.09038237697978313, -0.09838152293525682, -0.09807572096801298, -0.09838152293525682]"
1.5e-05,"[-0.09247392578487912, -0.09336396375337108, -0.09245476197854818, -0.08728902038574105, -0.09245476197854818, -0.07875441347554557, -0.0933639637533703, -0.09247392578487834, -0.0933639637533703]"
2e-05,"[-0.07901494094091432, -0.0809890477130879, -0.07918499744103868, -0.07002348716520457, -0.07918499744103868, -0.05754075844629136, -0.0809890477130879, -0.07901494094091432, -0.0809890477130879]"
2.5e-05,"[-0.051401896249222645, -0.05510928974660112, -0.051914108640799705, -0.037275560043356415, -0.051914108640799705, -0.02075576433934434, -0.05510928974660112, -0.05140189624922353, -0.05510928974660112]"
3e-05,"[-0.001738474099524434, -0.007829242077938003, -0.0027415639568300065, 0.018441879994942845, -0.0027415639568308947, 0.03834350903133754, -0.007829242077938003, -0.0017384740995226577, -0.007829242077937115]"
3.5e-05,"[0.07605949268983347, 0.06723293891390392, 0.07448708337950816, 0.10210842208237714, 0.07448708337950727, 0.12383872003363061, 0.06723293891390392, 0.07605949268983347, 0.06723293891390392]"
4e-05,"[0.1811658256953086, 0.16984216471211466, 0.17907645603811861, 0.21140913121596183, 0.17907645603811972, 0.23284596599722684, 0.16984216471211466, 0.1811658256953066, 0.16984216471211466]"
4.5e-05,"[0.3038284306686969, 0.2908558127538263, 0.3014031660815406, 0.33553210734309147, 0.3014031660815384, 0.3547278072210873, 0.2908558127538263, 0.303828430668698, 0.29085581275382966]"
5e-05,"[0.42964317649642236, 0.41616180897184285, 0.4271193964972231, 0.4600338856137314, 0.4271193964972231, 0.4758412162043657, 0.41616180897184285, 0.42964317649642236, 0.4161618089718453]"
5.5e-05,"[0.5462253635630085, 0.5332692914018, 0.5438122634048022, 0.5733297379578064, 0.5438122634048048, 0.5855091429197783, 0.5332692914017971, 0.5462253635630112, 0.5332692914018]"
6e-05,"[0.6466488189864528, 0.6349195235615404, 0.6444829995571455, 0.6695287648955532, 0.6444829995571484, 0.6784582390551612, 0.6349195235615432, 0.6466488189864499, 0.6349195235615432]"
6.5e-05,"[0.7289748054457592, 0.7188178676254895, 0.7271190075013609, 0.7475192584127526, 0.7271190075013672, 0.7538359002359905, 0.7188178676254864, 0.7289748054457592, 0.7188178676254833]"
7e-05,"[0.7942880472007614, 0.7857768181759239, 0.7927508073771146, 0.808878365777981, 0.7927508073771115, 0.8132347597042084, 0.7857768181759335, 0.794288047200771, 0.7857768181759335]"
7.5e-05,"[0.8449910793864275, 0.8380304171681738, 0.8437489572036947, 0.856223468403424, 0.843748957203698, 0.8591745486679714, 0.8380304171681738, 0.8449910793864275, 0.8380304171681738]"
8e-05,"[0.8837829578888348, 0.8781931220888555, 0.8827976329911353, 0.8922928303625108, 0.8827976329911287, 0.8942666812155007, 0.8781931220888588, 0.8837829578888381, 0.8781931220888655]"
8.5e-05,"[0.9131693350889911, 0.9087418541941212, 0.9123984872499491, 0.919540207975345, 0.9123984872499593, 0.9208485112728833, 0.9087418541941179, 0.9131693350889878, 0.9087418541941212]"
9e-05,"[0.9352798391130079, 0.9318099512076883, 0.9346831409462326, 0.9400067996788151, 0.9346831409462326, 0.9408683272963212, 0.9318099512076883, 0.9352798391130182, 0.9318099512076883]"
9.5e-05,"[0.9518382339787876, 0.9491411553053792, 0.95138012467444, 0.9553216238405915, 0.9513801246744364, 0.9558862671117212, 0.9491411553053828, 0.9518382339787841, 0.9491411553053792]"
0.0001,"[0.9641989081186555, 0.9621161290913836, 0.9638494721537643, 0.9667524299559591, 0.9638494721537643, 0.9671212152019093, 0.9621161290913764, 0.9641989081186624, 0.9621161290913764]"
0.000105,"[0.9734058643588233, 0.9718058462145565, 0.973140703290357, 0.9752700826273335, 0.9731407032903641, 0.9755103304580688, 0.9718058462145633, 0.9734058643588233, 0.9718058462145494]"
0.00011,"[0.9802536871466507, 0.979029744671498, 0.9800533255633055, 0.9816102753321045, 0.9800533255632915, 0.9817664869937885, 0.9790297446714837, 0.9802536871466507, 0.9790297446714837]"
0.000115,"[0.9853419580715002, 0.9844089772216129, 0.9851910895271667, 0.9863265929345504, 0.9851910895271596, 0.9864280165448918, 0.9844089772216058, 0.9853419580715002, 0.9844089772216129]"
0.00012,"[0.9891204771134525, 0.9884113778232524, 0.9890072096513167, 0.9898336463696689, 0.9890072096513096, 0.9898994249905402, 0.9884113778232524, 0.9891204771134383, 0.9884113778232382]"
