MU,CALIs
0.0,"[-0.7615941559557649, -0.7615941559557649, -0.7615941559557649, -0.7615941559557649, -0.7615941559557649, -0.7615941559557649, -0.7615941559557649, -0.7615941559557649, -0.7615941559557649]"
1.87e-05,"[-0.895756643562516, -0.8886248442699579, -0.8941750581835944, -0.9178862916621875, -0.8851463056651205, -0.8941750581835942, -0.9419405310448877, -0.8886248442699577, -0.895756643562516]"
3.75e-05,"[-0.9623974441867317, -0.9563353825362965, -0.9611021349042949, -0.9780959269820803, -0.9531933060403492, -0.9611021349042947, -0.9899869175988709, -0.9563353825362965, -0.9623974441867318]"
5.62e-05,"[-0.9868528632825148, -0.9833510701407948, -0.9861326737483342, -0.9944298010565318, -0.981419490022981, -0.9861326737483341, -0.9984154827424618, -0.9833510701407947, -0.9868528632825148]"
7.5e-05,"[-0.9954014418090475, -0.9936534999730782, -0.9950551534188298, -0.9985807659969512, -0.9926281685133129, -0.9950551534188298, -0.9997484543636784, -0.9936534999730782, -0.9954014418090475]"
9.37e-05,"[-0.9983600266618157, -0.9975424147020246, -0.9982038183760575, -0.9996216309487874, -0.9970332695503065, -0.9982038183760576, -0.9999491754780645, -0.9975424147020248, -0.9983600266618157]"
0.0001125,"[-0.9993898132087228, -0.9990240322867553, -0.9993224016968916, -0.9998719211550247, -0.9987824341568051, -0.9993224016968916, -0.99996111509093, -0.9990240322867553, -0.9993898132087228]"
0.0001312,"[-0.9996933145300734, -0.9995333645321733, -0.9996648720349883, -0.9998747949368952, -0.9994214480229598, -0.9996648720349883, -0.9998989620259805, -0.9995333645321733, -0.9996933145300734]"
0.00015,"[-0.9996105521017151, -0.9995423143966132, -0.9995988478007526, -0.9996775715354215, -0.9994917601831829, -0.9995988478007526, -0.9996840277264892, -0.9995423143966132, -0.9996105521017151]"
0.0001687,"[-0.9989766693732943, -0.9989479114622882, -0.9989719109498438, -0.9990012845457299, -0.9989253788694036, -0.9989719109498438, -0.9990030128605686, -0.9989479114622882, -0.9989766693732943]"
0.0001875,"[-0.9968206981922044, -0.9968088368423251, -0.9968188046400642, -0.9968295956391314, -0.9967990175554406, -0.9968188046400642, -0.9968300529116357, -0.9968088368423252, -0.9968206981922044]"
0.0002062,"[-0.9899974122056034, -0.9899926099984098, -0.9899966712408057, -0.990000596562232, -0.9899884221854632, -0.9899966712408057, -0.9900007175591541, -0.9899926099984099, -0.9899974122056034]"
0.000225,"[-0.9684918331126642, -0.9684899858892946, -0.9684915561392744, -0.9684929304050358, -0.9684883006523615, -0.9684915561392744, -0.9684929617100795, -0.9684899858892947, -0.9684918331126643]"
0.0002438,"[-0.9029723086625643, -0.9029716788153402, -0.9029722150378214, -0.9029726560295697, -0.9029710923697767, -0.9029722150378208, -0.9029726638113345, -0.9029716788153402, -0.9029723086625643]"
0.0002625,"[-0.7220128181971563, -0.7220126760554249, -0.7220127949089361, -0.722012903618356, -0.722012560981558, -0.7220127949089361, -0.7220129053696077, -0.7220126760554229, -0.7220128181971563]"
0.0002812,"[-0.32351837113402737, -0.3235183976986167, -0.3235183715541, -0.32351837525094085, -0.3235184549818517, -0.3235183715541, -0.32351837555068985, -0.32351839769862145, -0.32351837113403226]"
0.0003,"[0.23906925013723157, 0.23906920212056826, 0.23906924589773215, 0.23906925949655333, 0.2390691281538757, 0.23906924589772327, 0.2390692594717374, 0.23906920212056826, 0.2390692501372229]"
0.0003187,"[0.675110433196342, 0.6751104067144815, 0.6751104307850853, 0.6751104385655091, 0.6751103654674306, 0.6751104307850853, 0.6751104385681352, 0.6751104067144815, 0.675110433196354]"
0.0003375,"[0.8852337885072747, 0.885233778176636, 0.8852337875941576, 0.8852337904452985, 0.8852337613077665, 0.8852337875941845, 0.8852337904467156, 0.8852337781766628, 0.8852337885072612]"
0.0003562,"[0.9622747110918723, 0.9622747075317686, 0.9622747107911793, 0.9622747116941608, 0.9622747013791815, 0.9622747107911653, 0.9622747116944688, 0.9622747075317268, 0.9622747110918444]"
0.000375,"[0.9880042421089841, 0.9880042409453773, 0.9880042420156538, 0.9880042422850643, 0.9880042388096988, 0.9880042420156538, 0.988004242285152, 0.9880042409454055, 0.9880042421089981]"
0.0003937,"[0.9961961904654923, 0.9961961900895153, 0.9961961904369354, 0.9961961905163028, 0.9961961893562332, 0.9961961904368928, 0.9961961905163246, 0.9961961900895153, 0.9961961904655066]"
0.0004125,"[0.9988046237500459, 0.998804623630142, 0.9988046237414225, 0.9988046237645398, 0.9988046233815537, 0.9988046237414225, 0.998804623764511, 0.998804623630142, 0.9988046237500459]"
0.0004312,"[0.9996223681303607, 0.9996223680920582, 0.9996223681277716, 0.9996223681345016, 0.9996223680075889, 0.9996223681277716, 0.9996223681344887, 0.9996223680920298, 0.9996223681303891]"
0.00045,"[0.9998814709604551, 0.9998814709482655, 0.9998814709596584, 0.9998814709616237, 0.9998814709198163, 0.9998814709596584, 0.9998814709616552, 0.9998814709482655, 0.9998814709604267]"
