MU,CALIs
0.0,"[-0.04995837495788025, -0.04995837495788025, -0.04995837495788025, -0.04995837495788025, -0.04995837495788025, -0.04995837495788025, -0.04995837495788025, -0.04995837495788025, -0.04995837495788025]"
2.7e-06,"[-0.04450274747585503, -0.044965140659452896, -0.04454410458230684, -0.04240780040058634, -0.04520771763527265, -0.0385108712835035, -0.044965140659452896, -0.04450274747585503, -0.044965140659453784]"
5.4e-06,"[-0.03758616717071639, -0.03862752733413399, -0.0376981502139041, -0.033032488483250355, -0.03916615758386821, -0.02496143663167072, -0.03862752733413399, -0.03758616717071639, -0.03862752733413399]"
8.1e-06,"[-0.028750004449629274, -0.0305117588067515, -0.028967667884463477, -0.021319213762263867, -0.03141240933458689, -0.00881050462752031, -0.030511758806752387, -0.028750004449628386, -0.030511758806752387]"
1.08e-05,"[-0.01739555850750385, -0.020046688747256125, -0.017760259963696012, -0.006617758360042414, -0.021389648748867174, 0.010556427129768009, -0.020046688747256125, -0.01739555850750385, -0.020046688747256125]"
1.35e-05,"[-0.0027584758913881124, -0.00649621181680804, -0.0033179020273544912, 0.01187560969596424, -0.00837716112932152, 0.03387578858764817, -0.00649621181680804, -0.0027584758913881124, -0.00649621181680804]"
1.62e-05,"[0.016103664531291306, 0.011057051838291976, 0.015296383469815433, 0.03511655818203674, 0.00852765696805724, 0.06199352266218949, 0.011057051838291976, 0.016103664531291306, 0.011057051838291976]"
1.9e-05,"[0.04130605001512966, 0.0346510028969893, 0.04018233770274171, 0.06537676866229614, 0.0313205954010094, 0.09719076365113244, 0.0346510028969893, 0.04130605001512966, 0.0346510028969893]"
2.17e-05,"[0.07227007626012405, 0.06382590985642889, 0.07078537206840574, 0.1016109196661108, 0.05959619914760084, 0.13784178199192776, 0.06382590985642889, 0.07227007626012405, 0.06382590985642889]"
2.44e-05,"[0.11089178011336132, 0.10045917527521087, 0.10899952355735909, 0.1456927679076323, 0.0952169417504325, 0.18572703809140045, 0.10045917527521087, 0.1108917801133622, 0.10045917527521175]"
2.71e-05,"[0.15793469186869968, 0.14538834567830627, 0.15560531690439028, 0.1980918204603508, 0.13905137188219552, 0.24101736926551265, 0.1453883456783054, 0.1579346918687008, 0.14538834567830627]"
2.98e-05,"[0.2135093847613596, 0.19884076293432495, 0.2107395115455708, 0.25854073178848513, 0.19138036282621185, 0.30316832995575704, 0.19884076293432495, 0.2135093847613596, 0.19884076293432407]"
3.25e-05,"[0.2767975092029813, 0.2601486542041165, 0.2736169164703246, 0.32580933530580025, 0.25160938021892054, 0.3707571455607226, 0.2601486542041165, 0.2767975092029813, 0.2601486542041176]"
3.52e-05,"[0.34595308403760083, 0.3276272590043303, 0.3424264266648558, 0.39768522639404913, 0.31813637210075396, 0.44152242836349753, 0.3276272590043303, 0.3459530840375997, 0.32762725900433143]"
3.79e-05,"[0.4182873542743466, 0.39872725192597436, 0.4145087892367578, 0.4712432353407301, 0.38848829826900033, 0.5126625033655825, 0.39872725192597436, 0.4182873542743466, 0.39872725192597436]"
4.06e-05,"[0.490720876428302, 0.4704567941648814, 0.4868023533241477, 0.5433530912697342, 0.4597271031980972, 0.5813238255439575, 0.4704567941648814, 0.490720876428302, 0.4704567941648814]"
4.33e-05,"[0.560344370291159, 0.5399268948850102, 0.5564009154565759, 0.6112428092534068, 0.5289852094464405, 0.6451020041721178, 0.5399268948850116, 0.5603443702911577, 0.5399268948850089]"
4.6e-05,"[0.6248773510527457, 0.6048140250644116, 0.6210135907378771, 0.6729091702264007, 0.5939277992630339, 0.7023730083705215, 0.6048140250644116, 0.6248773510527457, 0.6048140250644087]"
4.87e-05,"[0.6828883518678512, 0.6635991688990259, 0.6791893711235557, 0.7272643608368952, 0.6529996048532323, 0.7523739223636745, 0.6635991688990259, 0.6828883518678543, 0.6635991688990259]"
5.15e-05,"[0.735519265917375, 0.7173608847349271, 0.732055994370717, 0.7756345242749458, 0.7072494089558508, 0.7965226119259559, 0.717360884734924, 0.7355192659173719, 0.7173608847349271]"
5.42e-05,"[0.7790668483614858, 0.7622038991082669, 0.7758697976805, 0.8149201571275566, 0.7526924709011626, 0.8321647367071956, 0.7622038991082638, 0.7790668483614824, 0.7622038991082605]"
5.69e-05,"[0.8160262508919003, 0.800564468856305, 0.8131137974997573, 0.8476896781928356, 0.7917309474663417, 0.8617703419813489, 0.8005644688563083, 0.8160262508918972, 0.8005644688563114]"
5.96e-05,"[0.8470970214930313, 0.8330671303873072, 0.8444723032883563, 0.8747917066889208, 0.8249489849839315, 0.8861904799131288, 0.8330671303873105, 0.8470970214930313, 0.8330671303873105]"
6.23e-05,"[0.873051410452665, 0.8604289012540389, 0.8707066374144845, 0.897087769068611, 0.853032375234819, 0.9062544400387806, 0.8604289012540356, 0.8730514104526683, 0.8604289012540356]"
6.5e-05,"[0.8946443468780265, 0.8833669841060048, 0.8925645239447342, 0.915376297568977, 0.8766756765148691, 0.9227107039147577, 0.8833669841060048, 0.8946443468780265, 0.8833669841060081]"
