MU,CALIs
0.0,"[-0.04995837495788025, -0.04995837495788025, -0.04995837495788025, -0.04995837495788025, -0.04995837495788025, -0.04995837495788025, -0.04995837495788025, -0.04995837495788025, -0.04995837495788025]"
2.7e-06,"[-0.034170723622956034, -0.03576520152080587, -0.034651577728167626, -0.028934733987416972, -0.03644048079459827, -0.034651577728167626, -0.03576520152080587, -0.03417072362295692, -0.03576520152080587]"
5.4e-06,"[-0.01570175679446628, -0.019064953684209907, -0.016693382103531884, -0.004665152897453617, -0.020503832158802804, -0.016693382103531884, -0.019064953684209907, -0.01570175679446628, -0.019064953684209907]"
8.1e-06,"[0.006039358241994641, 0.0007124260073256838, 0.004504843257738145, 0.023474972508259695, -0.0015910276430264325, 0.004504843257737257, 0.0007124260073256838, 0.006039358241994641, 0.0007124260073256838]"
1.08e-05,"[0.03176348366131987, 0.024259686805491176, 0.029652949798749884, 0.0562089304729434, 0.020978315969684136, 0.029652949798749884, 0.024259686805491176, 0.03176348366131987, 0.024259686805491176]"
1.35e-05,"[0.06229927915794309, 0.05239446708791884, 0.05958080562171064, 0.09434024386063222, 0.04801168787780652, 0.05958080562171064, 0.05239446708791995, 0.06229927915794309, 0.05239446708791884]"
1.62e-05,"[0.09856316918329067, 0.08603610289171804, 0.09520972775914616, 0.13870036396504837, 0.08042367434613218, 0.09520972775914727, 0.08603610289171804, 0.09856316918329067, 0.08603610289171804]"
1.9e-05,"[0.14320939149713707, 0.1277577739720812, 0.1391801589475612, 0.1920864430743725, 0.12074057337662181, 0.1391801589475612, 0.1277577739720812, 0.14320939149713707, 0.1277577739720812]"
2.17e-05,"[0.19385332811459222, 0.17544771307976625, 0.18917448145444005, 0.2511915471239101, 0.1669735536575081, 0.18917448145443894, 0.17544771307976736, 0.1938533281145911, 0.17544771307976736]"
2.44e-05,"[0.25235242599044727, 0.23097078971609752, 0.24705356158761838, 0.31775790745791266, 0.22098447380611308, 0.24705356158761838, 0.23097078971609863, 0.2523524259904484, 0.23097078971609863]"
2.71e-05,"[0.318415649832132, 0.294194327652213, 0.3125623599298948, 0.39095292685111604, 0.2827122495402421, 0.3125623599298961, 0.294194327652213, 0.318415649832132, 0.294194327652213]"
2.98e-05,"[0.39079174801165584, 0.3640655222986018, 0.3844908200801147, 0.46892420533979307, 0.35120000319589706, 0.3844908200801147, 0.3640655222986018, 0.39079174801165695, 0.3640655222986018]"
3.25e-05,"[0.4671580794229473, 0.4384717260933668, 0.46055560951468544, 0.5487986276742838, 0.42444356801848504, 0.46055560951468544, 0.4384717260933655, 0.4671580794229446, 0.4384717260933655]"
3.52e-05,"[0.544318492360204, 0.5143942119606031, 0.537588649677825, 0.6270170638277082, 0.49952435532104045, 0.537588649677825, 0.5143942119606031, 0.544318492360204, 0.5143942119606031]"
3.79e-05,"[0.6187367594261248, 0.5883965995556291, 0.6120624411493074, 0.6999773515565326, 0.573074045958228, 0.6120624411493045, 0.5883965995556291, 0.6187367594261262, 0.5883965995556291]"
4.06e-05,"[0.6872400034600552, 0.6573025251415248, 0.6807905500467075, 0.7647647175300016, 0.6419357881028611, 0.6807905500467091, 0.6573025251415263, 0.6872400034600552, 0.6573025251415263]"
4.33e-05,"[0.7476052165555613, 0.7187879218382582, 0.7415179473048106, 0.8196661839943227, 0.7037547886805808, 0.7415179473048121, 0.7187879218382598, 0.7476052165555644, 0.7187879218382582]"
4.6e-05,"[0.7988073477672222, 0.7716617978564315, 0.7931776642756283, 0.8642837447165816, 0.7572717918480893, 0.7931776642756316, 0.7716617978564346, 0.7988073477672222, 0.7716617978564346]"
4.87e-05,"[0.8409056835374369, 0.8157951831971451, 0.8357864609190275, 0.8992845973742565, 0.8022717577784708, 0.8357864609190275, 0.8157951831971417, 0.8409056835374369, 0.8157951831971451]"
5.15e-05,"[0.87581953738358, 0.8530162951136715, 0.8712466842965088, 0.9268265801752638, 0.8405360830712214, 0.8712466842965088, 0.8530162951136715, 0.87581953738358, 0.8530162951136682]"
5.42e-05,"[0.9022878274524098, 0.8817539895652347, 0.898230330718754, 0.9465345159328229, 0.8703436888117533, 0.8982303307187574, 0.8817539895652313, 0.9022878274524133, 0.8817539895652413]"
5.69e-05,"[0.9229840247977981, 0.9046609489065758, 0.9194126661990287, 0.9610236781522101, 0.8943267558039303, 0.9194126661990321, 0.9046609489065793, 0.9229840247977981, 0.9046609489065793]"
5.96e-05,"[0.9390924044637465, 0.9228565423960846, 0.935968029660772, 0.9715766312961229, 0.9135658045440649, 0.9359680296607684, 0.9228565423960813, 0.939092404463743, 0.9228565423960879]"
6.23e-05,"[0.951621864048084, 0.9373131668923644, 0.9489010320545055, 0.9792243772302882, 0.9290085888222748, 0.9489010320545055, 0.9373131668923644, 0.951621864048084, 0.9373131668923644]"
6.5e-05,"[0.961388952552026, 0.948831330792459, 0.9590277074803846, 0.9847580848658928, 0.941441788233049, 0.9590277074803846, 0.948831330792459, 0.9613889525520192, 0.948831330792459]"
