MU,CALIs
0.0,"[-0.09966799462495568, -0.09966799462495568, -0.09966799462495568, -0.09966799462495568, -0.09966799462495568, -0.09966799462495568, -0.09966799462495568, -0.09966799462495568, -0.09966799462495568]"
5e-06,"[-0.08884232732836383, -0.09018837508070998, -0.08943260754205395, -0.09060729475519491, -0.08943260754205395, -0.07691535897798751, -0.09018837508070998, -0.08884232732836306, -0.09018837508070998]"
1e-05,"[-0.07198372478176929, -0.07511565579620172, -0.07323836576705889, -0.07617961460817457, -0.07323836576705889, -0.04577398514312325, -0.07511565579620172, -0.07198372478176929, -0.07511565579620172]"
1.5e-05,"[-0.04523746010925267, -0.05075173108462305, -0.04724625410941741, -0.052782493633787286, -0.04724625410941741, -0.0022881021645240196, -0.05075173108462305, -0.04523746010925345, -0.05075173108462305]"
2e-05,"[-0.00269256249303218, -0.011328312071536062, -0.005548205960036023, -0.014751280083082241, -0.005548205960036023, 0.05899294818773693, -0.01132831207153695, -0.002692562493031292, -0.01132831207153695]"
2.5e-05,"[0.0634591235848243, 0.05094880490901765, 0.05969762039013604, 0.045650844765026344, 0.05969762039013604, 0.144297345526764, 0.05094880490901854, 0.06345912358482342, 0.05094880490901854]"
3e-05,"[0.16047854733514022, 0.14365390295546732, 0.1558540666516235, 0.13609633358098439, 0.1558540666516246, 0.2577068238402527, 0.14365390295546643, 0.16047854733514022, 0.14365390295546643]"
3.5e-05,"[0.2891459054135299, 0.26835962812312175, 0.2838782980461434, 0.2585228084624098, 0.2838782980461445, 0.3956999154986329, 0.26835962812312397, 0.289145905413531, 0.26835962812312397]"
4e-05,"[0.43770214984172373, 0.4143715094516589, 0.4321938004218051, 0.4028105806706339, 0.4321938004218051, 0.5433234152322701, 0.41437150945166024, 0.43770214984172373, 0.4143715094516589]"
4.5e-05,"[0.5842680340392585, 0.5605060577179362, 0.5789835992474044, 0.5482415474655975, 0.5789835992474028, 0.6792030161590779, 0.5605060577179362, 0.5842680340392585, 0.5605060577179362]"
5e-05,"[0.7089971026914508, 0.6867762518631593, 0.7042942582268159, 0.674882309656099, 0.7042942582268097, 0.7875315444389441, 0.6867762518631624, 0.7089971026914537, 0.6867762518631624]"
5.5e-05,"[0.8035006876185211, 0.7840488527980467, 0.7995480509168083, 0.7732897366292548, 0.7995480509168083, 0.864598851690799, 0.7840488527980467, 0.8035006876185276, 0.7840488527980467]"
6e-05,"[0.8697792796175101, 0.8535266210701178, 0.8665856359391102, 0.844263552419509, 0.8665856359391135, 0.9154205436159277, 0.8535266210701209, 0.8697792796175134, 0.8535266210701178]"
6.5e-05,"[0.9142732669942115, 0.9011109619934667, 0.9117582652430074, 0.8933984407278219, 0.9117582652430143, 0.9475377580064639, 0.9011109619934667, 0.9142732669942115, 0.9011109619934667]"
7e-05,"[0.9435391136949134, 0.9330961452814162, 0.9415906731342691, 0.9268163352379724, 0.9415906731342656, 0.9674474070052503, 0.9330961452814162, 0.9435391136949203, 0.9330961452814162]"
7.5e-05,"[0.962665277784472, 0.9544915893304686, 0.9611715259881797, 0.949454452639221, 0.9611715259881797, 0.9797235825644737, 0.9544915893304686, 0.9626652777844582, 0.9544915893304617]"
8e-05,"[0.9751776360225, 0.9688386084871814, 0.9740403698607358, 0.9648396964700323, 0.9740403698607358, 0.9873067340487689, 0.9688386084871743, 0.9751776360225, 0.9688386084871814]"
8.5e-05,"[0.9834004947406987, 0.9785157959496231, 0.9825387608807656, 0.9753642855376661, 0.9825387608807621, 0.9920138861832444, 0.9785157959496162, 0.9834004947406987, 0.9785157959496231]"
9e-05,"[0.9888364479036993, 0.9850899666991697, 0.9881857523697901, 0.9826196602253947, 0.9881857523697972, 0.9949526444607855, 0.9850899666991697, 0.9888364479037064, 0.9850899666991626]"
9.5e-05,"[0.9924524397266759, 0.9895891315821717, 0.991962409025172, 0.987660780002189, 0.991962409025172, 0.996797585413326, 0.9895891315821823, 0.9924524397266687, 0.9895891315821788]"
0.0001,"[0.9948723129321522, 0.9926901313633214, 0.9945040768357352, 0.991189784425831, 0.9945040768357423, 0.9979615623534035, 0.9926901313633214, 0.9948723129321593, 0.9926901313633145]"
0.000105,"[0.9965008553481869, 0.9948416277333554, 0.9962246539425663, 0.993677451326145, 0.9962246539425734, 0.9986990098429547, 0.9948416277333554, 0.9965008553481869, 0.9948416277333554]"
0.00011,"[0.9976025203816035, 0.996343418898022, 0.9973956902187804, 0.9954421699771743, 0.9973956902187804, 0.9991678629501279, 0.9963434188980078, 0.9976025203816177, 0.996343418898022]"
0.000115,"[0.9983512918948052, 0.9973974858800174, 0.998196640419853, 0.9967011828228023, 0.998196640419853, 0.9994668081001563, 0.9973974858800245, 0.9983512918948052, 0.9973974858800245]"
0.00012,"[0.9988624050892256, 0.9981409964215477, 0.9987469287223154, 0.9976039943591775, 0.9987469287223154, 0.9996578666701881, 0.9981409964215477, 0.9988624050892256, 0.9981409964215406]"
