MU,CALIs
0.0,"[-0.46211715726000957, -0.46211715726000957, -0.46211715726000957, -0.46211715726000957, -0.46211715726000957, -0.46211715726000957, -0.46211715726000957, -0.46211715726000957, -0.46211715726000957]"
8.8e-06,"[-0.5504887395184597, -0.5490117114579787, -0.5718489774948078, -0.5412315862864645, -0.5490117114579783, -0.5998365981554278, -0.5441840682089811, -0.5504887395184597, -0.5441840682089811]"
1.75e-05,"[-0.6562987041403724, -0.6535586485088605, -0.694121315204345, -0.6386975031470634, -0.6535586485088605, -0.7375114826550282, -0.6443946962288187, -0.6562987041403724, -0.6443946962288187]"
2.62e-05,"[-0.7618687493516549, -0.758474678992695, -0.8062881849970408, -0.7394242248723646, -0.758474678992695, -0.8502216690156277, -0.7468176192012195, -0.7618687493516549, -0.7468176192012193]"
3.5e-05,"[-0.8478573078052382, -0.8445203210739323, -0.8890158465795996, -0.8250712399813075, -0.8445203210739325, -0.9236324036609235, -0.8327255537597635, -0.8478573078052382, -0.8327255537597634]"
4.38e-05,"[-0.9055273751789519, -0.9027042605278277, -0.9382280754859784, -0.8856021399871437, -0.9027042605278276, -0.9614326867380928, -0.8924335300308609, -0.9055273751789519, -0.8924335300308609]"
5.25e-05,"[-0.939042192299985, -0.9368596046620151, -0.9627624939300855, -0.923130477274472, -0.9368596046620151, -0.9769397536163451, -0.9286972983785041, -0.939042192299985, -0.9286972983785041]"
6.13e-05,"[-0.956175594786846, -0.9545878571800952, -0.9723512326859685, -0.9442283866286997, -0.9545878571800952, -0.9804769721391554, -0.9484924876226174, -0.9561755947868461, -0.9484924876226174]"
7e-05,"[-0.9611949495692177, -0.9600793883594518, -0.9718667491535157, -0.9525482627335694, -0.9600793883594518, -0.9763932844968134, -0.9556932862826816, -0.9611949495692177, -0.9556932862826817]"
7.88e-05,"[-0.9558095959105272, -0.9550523337709733, -0.9626189904861868, -0.9497747329946701, -0.9550523337709732, -0.9650653088713823, -0.952009669526049, -0.9558095959105273, -0.9520096695260488]"
8.75e-05,"[-0.9387923814814332, -0.9382909773937337, -0.9430439412421073, -0.9346975034180466, -0.9382909773937337, -0.9443498026813802, -0.9362389818563537, -0.938792381481433, -0.9362389818563535]"
9.63e-05,"[-0.9053665993842426, -0.9050478208957833, -0.9079225134312121, -0.9027104593678597, -0.9050478208957833, -0.9085999969973885, -0.9037247872472763, -0.9053665993842427, -0.9037247872472766]"
0.000105,"[-0.8486967773974764, -0.8485031210622503, -0.8501733528381101, -0.8470646926016334, -0.8485031210622503, -0.8505176028847166, -0.8476944903156407, -0.8486967773974764, -0.8476944903156401]"
0.0001138,"[-0.756534202865704, -0.7564265369679993, -0.7573214873203004, -0.7556331935656231, -0.7564265369679993, -0.7574877927247747, -0.7559816750887564, -0.756534202865704, -0.7559816750887564]"
0.0001225,"[-0.6189206361080164, -0.6188688559871038, -0.6192914973863208, -0.6185125770035678, -0.6188688559871038, -0.6193673240430128, -0.6186667490459719, -0.6189206361080164, -0.6186667490459732]"
0.0001313,"[-0.42481632137456193, -0.42479943524415753, -0.4249449642142029, -0.4247259786409724, -0.42479943524415753, -0.42497571093206055, -0.42475206919280306, -0.42481632137456604, -0.42475206919280095]"
0.00014,"[-0.18401068016743083, -0.18401258954294974, -0.18401718195821481, -0.18409444530995978, -0.18401258954294974, -0.18402762203248502, -0.18404904536600775, -0.18401068016743372, -0.18404904536601363]"
0.0001488,"[0.08452048694859737, 0.08451059772640757, 0.0845631336880237, 0.08436529867182796, 0.08451059772641156, 0.08456090922045778, 0.08444017580503704, 0.08452048694859737, 0.08444017580503704]"
0.0001575,"[0.3387331830685918, 0.33872199671949343, 0.33878407564840085, 0.3385732656969498, 0.33872199671949343, 0.3387844160401232, 0.3386494030656644, 0.33873318306860134, 0.3386494030656595]"
0.0001663,"[0.5537382272264668, 0.5537288246962129, 0.5537802894556458, 0.5536055376507103, 0.5537288246962184, 0.553781069962344, 0.5536689690080794, 0.5537382272264668, 0.5536689690080849]"
0.000175,"[0.7122862075132166, 0.7122793554098419, 0.712315848800712, 0.7121883193512977, 0.7122793554098357, 0.7123164563924085, 0.7122355809636085, 0.7122862075132166, 0.7122355809636023]"
0.0001838,"[0.8220026962877978, 0.8219981285058708, 0.8220216815518986, 0.8219358856974535, 0.8219981285058708, 0.8220220503160669, 0.8219685524653253, 0.8220026962877978, 0.8219685524653189]"
0.0001925,"[0.8918799569632838, 0.8918770528223088, 0.891891533197261, 0.8918362214946804, 0.8918770528223088, 0.8918917345553363, 0.8918579006621217, 0.8918799569632772, 0.8918579006621217]"
0.0002013,"[0.9356846753673345, 0.935682897836021, 0.9356914624492321, 0.9356570062558442, 0.9356828978360072, 0.9356915651329079, 0.9356709208689689, 0.9356846753673276, 0.9356709208689689]"
0.00021,"[0.9618679138722286, 0.9618668420412759, 0.9618718362373286, 0.9618506362409875, 0.9618668420412897, 0.9618718871543586, 0.9618594518966839, 0.9618679138722146, 0.9618594518966839]"
