MU,CALIs
0.0,"[-0.04995837495788025, -0.04995837495788025, -0.04995837495788025, -0.04995837495788025, -0.04995837495788025, -0.04995837495788025, -0.04995837495788025, -0.04995837495788025, -0.04995837495788025]"
2.7e-06,"[-0.044841338512157325, -0.04441889429392587, -0.04195228541600171, -0.0450903370680954, -0.04441889429392587, -0.037947518497086, -0.044841338512157325, -0.04437701108503733, -0.044841338512157325]"
5.4e-06,"[-0.03833620493515688, -0.03740091808839041, -0.03207722860910134, -0.03888935415803363, -0.03740091808839041, -0.0237902809187166, -0.03833620493515599, -0.03728676242872975, -0.03833620493515599]"
8.1e-06,"[-0.030000135421677676, -0.028442118921643056, -0.019813453612665732, -0.03092529093538743, -0.028442118921643056, -0.006981644284566824, -0.030000135421677676, -0.0282194197691924, -0.030000135421678564]"
1.08e-05,"[-0.019251720584915866, -0.01693944041176365, -0.0045042575214434555, -0.02063124808231298, -0.01693944041176365, 0.013097872581031345, -0.019251720584916754, -0.01656554690132017, -0.019251720584915866]"
1.35e-05,"[-0.005343871046806781, -0.0021235644290835687, 0.01465968320636235, -0.0072756509768118205, -0.002123564429084457, 0.03718823710792063, -0.005343871046806781, -0.0015494596655474258, -0.005343871046806781]"
1.62e-05,"[0.012651458914309854, 0.016953283581077727, 0.0386373276100922, 0.010054766809253213, 0.016953283581077727, 0.06613596780490694, 0.012651458914310743, 0.01778202901639281, 0.012651458914309854]"
1.9e-05,"[0.03680234007424721, 0.04242182685959217, 0.06973010122536949, 0.03338544352268813, 0.04242182685959217, 0.1022512979703365, 0.0368023400742481, 0.043575266320225126, 0.0368023400742481]"
2.17e-05,"[0.0666126359204191, 0.07368856959735548, 0.1068244125302995, 0.06227639821689834, 0.07368856959735459, 0.1438298182078126, 0.06661263592042, 0.07521185692518095, 0.0666126359204191]"
2.44e-05,"[0.103971886223585, 0.11265924550313788, 0.15180325587269117, 0.09860246970426201, 0.112659245503137, 0.19265986633521703, 0.103971886223585, 0.11459933975646064, 0.103971886223585]"
2.71e-05,"[0.14969816442676298, 0.16009291491198674, 0.20510336816750385, 0.14321403068082872, 0.16009291491198674, 0.2488750009271572, 0.14969816442676298, 0.16247912100089978, 0.14969816442676298]"
2.98e-05,"[0.20398260001408075, 0.2160875028195246, 0.2664104036604662, 0.19635739318314616, 0.2160875028195257, 0.3118803526498035, 0.20398260001408186, 0.2189221332193143, 0.20398260001408075]"
3.25e-05,"[0.2661046168028911, 0.2798020912920818, 0.33443615400964677, 0.2573870078780658, 0.27980209129208045, 0.3801939511046166, 0.2661046168028922, 0.2830534613993878, 0.2661046168028922]"
3.52e-05,"[0.33431573348122745, 0.3493592062990729, 0.40690744809434376, 0.3246386657342166, 0.34935920629907424, 0.4514957412012397, 0.33431573348122745, 0.35296005915019424, 0.33431573348122634]"
3.79e-05,"[0.40600329468183904, 0.42203455594661055, 0.48084788259673017, 0.39557693089959445, 0.42203455594661055, 0.5229383756984363, 0.40600329468183904, 0.42588775942518087, 0.4060032946818377]"
4.06e-05,"[0.47812623798082465, 0.49471696511119645, 0.5530975927244013, 0.4672145536150991, 0.4947169651111951, 0.5916468380354301, 0.4781262379808233, 0.4987076515520408, 0.478126237980826]"
4.33e-05,"[0.5477710910608589, 0.564476898813645, 0.6208834328909139, 0.5366585926283982, 0.564476898813645, 0.6552244990895961, 0.5477710910608562, 0.5684875880200035, 0.5477710910608575]"
4.6e-05,"[0.6126177810391418, 0.629029131678422, 0.682228064558863, 0.6015761571305072, 0.6290291316784191, 0.7120810591862394, 0.6126177810391418, 0.632953473012027, 0.6126177810391389]"
4.87e-05,"[0.6711740237686703, 0.6869520192780949, 0.7360883296203609, 0.6604369369430101, 0.6869520192780949, 0.761503796921128, 0.6711740237686732, 0.690704007269141, 0.6711740237686732]"
5.15e-05,"[0.7245428982385562, 0.7393993559469862, 0.7838184092736686, 0.7143132737988986, 0.7393993559469894, 0.8049391483931669, 0.7245428982385591, 0.7429075731060759, 0.7245428982385562]"
5.42e-05,"[0.7689035707627618, 0.7827058259150246, 0.8224167486766483, 0.7592921504863033, 0.7827058259150246, 0.8398366139234754, 0.7689035707627587, 0.7859404008426505, 0.7689035707627587]"
5.69e-05,"[0.8067225252533456, 0.8193850521186619, 0.8544735258195826, 0.7978057780011176, 0.8193850521186652, 0.8686842617187687, 0.8067225252533488, 0.8223282951696977, 0.8067225252533456]"
5.96e-05,"[0.838659020839307, 0.8501567947881237, 0.8808699666744835, 0.8304725531311967, 0.8501567947881237, 0.892364096253347, 0.838659020839307, 0.8528064194470297, 0.838659020839307]"
6.23e-05,"[0.8654564812141858, 0.8758090590877514, 0.9024902748009354, 0.8580045011481652, 0.8758090590877547, 0.9117261845715656, 0.8654564812141858, 0.878173746098883, 0.8654564812141892]"
6.5e-05,"[0.8878506605914207, 0.8971080908728248, 0.9201471254236617, 0.8811147628455369, 0.8971080908728148, 0.9275314298643436, 0.8878506605914307, 0.8992036850109844, 0.8878506605914307]"
