MU,CALIs
0.0,"[-0.04995837495788025, -0.04995837495788025, -0.04995837495788025, -0.04995837495788025, -0.04995837495788025, -0.04995837495788025, -0.04995837495788025, -0.04995837495788025, -0.04995837495788025]"
2.7e-06,"[-0.0452388843118533, -0.04527885721222202, -0.04335489772596457, -0.04585178532416834, -0.04527885721222202, -0.03993551535163842, -0.04564534727349168, -0.0452388843118533, -0.045645347273492454]"
5.4e-06,"[-0.03920997742963306, -0.039316154630390954, -0.03511177868074744, -0.04058997592275515, -0.03931615463039184, -0.028009798843025457, -0.040128471767464924, -0.03920997742963306, -0.04012847176746581]"
8.1e-06,"[-0.03144649092444174, -0.03165048263247361, -0.02475150438003726, -0.03378309792264822, -0.03165048263247361, -0.013712468892620566, -0.03300605487366226, -0.03144649092444263, -0.03300605487366226]"
1.08e-05,"[-0.021388131081048756, -0.021727470969800877, -0.011663217672912118, -0.02491098598358832, -0.021727470969800877, 0.003538997767743135, -0.023744170569129697, -0.021388131081048756, -0.023744170569129697]"
1.35e-05,"[-0.008312280984850928, -0.008830538692123913, 0.004916308992596097, -0.01329360019334136, -0.0088305386921248, 0.024451078616246624, -0.01164773458170898, -0.008312280984850928, -0.01164773458170898]"
1.62e-05,"[0.00868212120020373, 0.007936049350156793, 0.025905980852379162, 0.0019300840008735776, 0.007936049350156793, 0.04984734338546026, 0.004159116797809448, 0.00868212120020373, 0.00415911679780856]"
1.9e-05,"[0.03158746881144947, 0.030550021975864983, 0.053448810784850975, 0.022638643046775098, 0.030550021975864983, 0.0818841394964771, 0.025595089281016392, 0.03158746881144858, 0.025595089281016392]"
2.17e-05,"[0.0599731017531977, 0.05860228495786912, 0.08669357598774141, 0.04855384120780415, 0.05860228495786912, 0.1191849849833253, 0.05233471528801159, 0.0599731017531977, 0.05233471528801159]"
2.44e-05,"[0.09567771280126336, 0.09392910541234456, 0.12746478275926698, 0.08147877163420292, 0.09392910541234456, 0.16348986696011503, 0.08619651579867993, 0.09567771280126425, 0.08619651579867993]"
2.71e-05,"[0.13953326812204825, 0.1373775176249028, 0.17632961779674172, 0.1223368552616304, 0.1373775176249028, 0.215092346869435, 0.12807735005446053, 0.13953326812204825, 0.12807735005446164]"
2.98e-05,"[0.1917821787406282, 0.18921359097204316, 0.23318537085612623, 0.17152370858341248, 0.18921359097204316, 0.27363220201776106, 0.17832493866565002, 0.19178217874062709, 0.1783249386656489]"
3.25e-05,"[0.2518022713531616, 0.24884549483194274, 0.29702874334382634, 0.22862261135829143, 0.24884549483194274, 0.33792165466626867, 0.23645542988690682, 0.2518022713531638, 0.23645542988690682]"
3.52e-05,"[0.3179885480872999, 0.3147005513738925, 0.3659094311423825, 0.29225659085240263, 0.3147005513738925, 0.4059532007867859, 0.30101450350971515, 0.3179885480872999, 0.30101450350971404]"
3.79e-05,"[0.38789692541229304, 0.38436251492352524, 0.43715184840417054, 0.3601879752605983, 0.38436251492352524, 0.4751491223906674, 0.36969143616913125, 0.38789692541229437, 0.3696914361691288]"
4.06e-05,"[0.4586447776542124, 0.4549662319293841, 0.5078087068522659, 0.4296756334510232, 0.4549662319293841, 0.5428000862544495, 0.4396914476228688, 0.4586447776542124, 0.4396914476228688]"
4.33e-05,"[0.5274298988597708, 0.5237136464195491, 0.5751857041345172, 0.49796863465220875, 0.5237136464195518, 0.6065358572003581, 0.5082391498695682, 0.5274298988597734, 0.5082391498695655]"
4.6e-05,"[0.5919737863409196, 0.5883179536714231, 0.6372442234542335, 0.5627504462557664, 0.5883179536714203, 0.6646577560747648, 0.573023934203615, 0.5919737863409169, 0.573023934203615]"
4.87e-05,"[0.6507559964096716, 0.647241699366242, 0.6927706104639235, 0.6223956934541635, 0.6472416993662449, 0.7162482675250099, 0.6324503560110277, 0.6507559964096774, 0.6324503560110248]"
5.15e-05,"[0.7048321325397784, 0.7015278160136318, 0.7429885186654892, 0.6778768622818658, 0.7015278160136378, 0.7626186808970068, 0.6875173268824011, 0.7048321325397784, 0.6875173268823982]"
5.42e-05,"[0.7502212564213739, 0.7471587600191352, 0.7844710129034334, 0.7249610663507602, 0.7471587600191352, 0.8007551659035903, 0.7340712117998152, 0.7502212564213677, 0.7340712117998183]"
5.69e-05,"[0.7892976207597402, 0.7864970416796868, 0.819669462263902, 0.7659312513618362, 0.7864970416796837, 0.8330278121366828, 0.7744283881103775, 0.7892976207597402, 0.7744283881103744]"
5.96e-05,"[0.8226220594394891, 0.8200889894143863, 0.849290198219824, 0.8012380007015596, 0.8200889894143863, 0.8601523024530189, 0.8090779402685861, 0.8226220594394891, 0.8090779402685893]"
6.23e-05,"[0.8508579361424784, 0.8485873302849067, 0.874087244496337, 0.8314601549797156, 0.8485873302849101, 0.8828590382982622, 0.8386291513689195, 0.8508579361424784, 0.8386291513689195]"
6.5e-05,"[0.874680712159903, 0.8726603085695896, 0.8947838026151012, 0.857212533557562, 0.8726603085695863, 0.901829901870054, 0.863719476515949, 0.874680712159903, 0.8637194765159557]"
