Tract index,CALI
1,-0.06453416786675592
2,-0.04653474823038761
3,-0.05010804247295819
4,-0.055661654444719044
5,-0.04411343165519621
6,-0.04905812972527568
7,-0.05639978654733213
8,-0.05651017295105809
9,-0.04348266795812494
10,-0.05888527861861992
11,-0.07344936850748796
12,-0.06056917318934074
13,-0.056065242692656114
14,-0.05376285475059872
15,-0.06776503271539935
16,-0.05368945029576433
17,-0.04060496357539545
18,-0.06471291789229916
19,-0.0462334213240464
whole GM,13.292621053744494
