Tract,CALI
V1,-0.12432032982251329
V2,-0.12695850251082252
V3,-0.11738195531333828
V4,-0.11931925272100086
V5,-0.12613500439871017
V6,-0.12491279119764609
V7,-0.12344289351091131
V8,-0.11429247720333546
V9,-0.12346165208880744
V10,-0.11753753249342636
V11,-0.13273011967902804
V12,-0.11991760962780751
V13,-0.15567929300506977
V14,-0.13201022474910196
V15,-0.11845260883867892
V16,-0.11574481355452904
V17,-0.12389250355601023
V18,-0.12248099822539471
V19,-0.10909225577460557
whole GM,13.29921433302205
