Tract index,CALI
1,-0.29190571970512624
2,-0.27826629315432383
3,-0.20580168070769222
4,-0.2275483820311942
5,-0.2788431985527684
6,-0.260138319737368
7,-0.2684018889451013
8,-0.18271027909452742
9,-0.23328188705970543
10,-0.21735238479336882
11,-0.37591277745430285
12,-0.2415497232849605
13,-0.48350778811009676
14,-0.31867289154567024
15,-0.23876704480389133
16,-0.18709963039624844
17,-0.21873313199152233
18,-0.2624478678644898
19,-0.11556578527379657
whole GM,13.211738946294403
