Tract,logZi,time,CALI
V1,14.666217315594913,22.86415696144104,0.8427454970320494
V2,14.759417545139065,29.775010585784912,1.113758855474305
V3,14.49977403654069,26.81445288658142,0.7591721136681493
V4,14.600813487841206,28.08753275871277,0.8218751159850641
V5,14.755471221542473,25.452158212661743,1.0689000942598663
V6,14.930853860953885,23.63966989517212,1.5052881337448563
V7,14.615559154952637,24.55681824684143,0.8938616077631214
V8,14.76746698881782,21.650171041488647,1.0037128293668807
V9,14.756734392724987,20.0968120098114,1.144248003271311
V10,14.8451852366799,22.23301887512207,1.1907040979200398
V11,15.05688860817003,17.14358401298523,1.6669156523803688
V12,14.677369215437299,22.363965034484863,0.8467110139245699
V13,14.738385082702955,18.07233500480652,1.4387274391399605
V14,14.856417313571164,19.014923095703125,1.4534141459377534
V15,14.618557771831226,20.976645708084106,0.6712711917603478
V16,15.007117973867498,19.696526050567627,1.6225843814905043
V17,14.965821891385707,17.43354606628418,1.8176195962584862
V18,15.214287958054923,15.649697065353394,2.118405202512324
V19,14.68943598234044,14.117816686630249,0.9164590634454615
whole GM,14.89812042285185,9.501868963241577,N/A
