Tract index,CALI
1,-0.12252859985408027
2,-0.11519706085549364
3,-0.1106481662450104
4,-0.11414650641962087
5,-0.11409455416300762
6,-0.11563709111290676
7,-0.1172151486571571
8,-0.11121668791483275
9,-0.11032454689076121
10,-0.11420691428180818
11,-0.13197793009698766
12,-0.11662023417402767
13,-0.13668653560815358
14,-0.12060709483399812
15,-0.11879981387785221
16,-0.11058080460223607
17,-0.10905694200833682
18,-0.12078821196769696
19,-0.1034918264443937
whole GM,13.27076248326932
