Tract,CALI
V1,-0.1517331210582734
V2,-0.1569854526850818
V3,-0.14214060711742216
V4,-0.1435116499052823
V5,-0.15860478246876408
V6,-0.1537054842416331
V7,-0.14890308864174073
V8,-0.13379386860734
V9,-0.15865202957314173
V10,-0.15034417506152797
V11,-0.17043194461140598
V12,-0.14538584334551796
V13,-0.2120368040959406
V14,-0.16931420032968736
V15,-0.14239312883222166
V16,-0.13765385960508347
V17,-0.15634105854386415
V18,-0.15109036352782534
V19,-0.12265225711082717
whole GM,13.393727287086644
