Tract index,CALI
1,-0.500178248895641
2,-0.5098800783871773
3,-0.38003811679997257
4,-0.41113374402604275
5,-0.5102855056581618
6,-0.4843888029153961
7,-0.47124144913369725
8,-0.33224770351119814
9,-0.4350379189800747
10,-0.38371668141280224
11,-0.6107238030669426
12,-0.4265759589077601
13,-0.7682098941421909
14,-0.5560404391685938
15,-0.4075094929289578
16,-0.34517693130821414
17,-0.4246791103539218
18,-0.45353364274500896
19,-0.2335904928759559
whole GM,13.574510421728228
