Tract index,CALI
1,-0.05737570283478588
2,-0.048171280482520396
3,-0.049844080585575656
4,-0.0526288728416624
5,-0.04698785770443614
6,-0.04958737527717838
7,-0.05275469512683861
8,-0.05293278269680979
9,-0.04597549875979745
10,-0.05385094243076616
11,-0.06169063136187125
12,-0.0549599789149261
13,-0.05199914853311427
14,-0.05095327422401963
15,-0.058385189268752025
16,-0.05134858301354617
17,-0.04450114189094578
18,-0.0572811668945159
19,-0.04790366879610042
whole GM,13.216638486912045
