Tract index,CALI
1,-0.057774297802093866
2,-0.04872357093682156
3,-0.050021970976692476
4,-0.05279808696875554
5,-0.04739294959095808
6,-0.05002316530170259
7,-0.05297150167977693
8,-0.05304700961966957
9,-0.04600274645984137
10,-0.05392529828908077
11,-0.062340919388387595
12,-0.055187510695571484
13,-0.05274804176948711
14,-0.051340806729820554
15,-0.05850515264190359
16,-0.051396559151936305
17,-0.044478461010275305
18,-0.05742863746780558
19,-0.047931059198573434
whole GM,13.190375162410504
