Tract index,CALI
1,-0.06679980632613303
2,-0.04906393057771796
3,-0.05118864519220234
4,-0.05634451520186823
5,-0.04696346022671838
6,-0.05137976634678709
7,-0.058111612150498426
8,-0.057330595724528255
9,-0.044793555527112616
10,-0.059573129384677626
11,-0.07740059802893873
12,-0.061845027269291086
13,-0.061155903671627376
14,-0.05581440891695677
15,-0.06910625445518637
16,-0.05432583801807467
17,-0.04192053924885264
18,-0.06620451586020959
19,-0.046474843223021534
whole GM,13.187764609135563
