Tract index,CALI
1,-0.1610311507284018
2,-0.14706794092766184
3,-0.13336751058629204
4,-0.1419134359052796
5,-0.14676655708539932
6,-0.1474390845261221
7,-0.15090404839379068
8,-0.1322703652167374
9,-0.13622839280389276
10,-0.1405242869884623
11,-0.18673410220458364
12,-0.14684212683199072
13,-0.20690112633193591
14,-0.16225320998217152
15,-0.15036747815230256
16,-0.1316176730297025
17,-0.13401946180927515
18,-0.15596112150345998
19,-0.11258220783097661
whole GM,13.286673750222636
