Tract,logZi,time,CALI
V1,12.196807758434408,14.048736095428467,1.125882683890449
V2,12.116741401821596,13.39506196975708,1.0326244326647176
V3,11.598892597090313,14.249686002731323,0.2869706721105747
V4,11.979460412502833,11.370558977127075,0.7861248648799339
V5,12.23094453112558,10.7846200466156,1.2468474729816315
V6,12.295925519496429,11.355015993118286,1.4285919856875227
V7,12.188541861651506,13.39425015449524,1.2441653791765614
V8,12.006332459134521,14.170576095581055,0.732748708965389
V9,12.374043499379038,12.180645942687988,1.6650760674192147
V10,11.929817317317163,12.751121997833252,0.6199506655408371
V11,11.947231744363044,13.443075180053711,0.6287416483769472
V12,12.000023701282416,13.496856212615967,0.7336024755963129
V13,12.17311293069755,12.026968002319336,1.4520528162823196
V14,11.974019945057838,11.503965139389038,0.8371485114189685
V15,12.149594573449006,14.97502326965332,0.9483169740434081
V16,11.953786976580128,16.561169862747192,0.683320339435131
V17,11.916373915397086,14.283037900924683,0.7749517848286762
V18,11.750469459854711,12.820629119873047,0.3367553235087992
V19,11.62054085690167,10.039147853851318,0.2101239058975355
whole GM,12.225775844344273,8.211921215057373,N/A
