MU,CALIs
0.0,"[-0.7615941559557649, -0.7615941559557649, -0.7615941559557649, -0.7615941559557649, -0.7615941559557649, -0.7615941559557649, -0.7615941559557649, -0.7615941559557649, -0.7615941559557649]"
1.87e-05,"[-0.8937727890709408, -0.8866782172401255, -0.8921695449275324, -0.9158311092244283, -0.8832489476452346, -0.9397164523607111, -0.8866782172401257, -0.893772789070941, -0.8866782172401259]"
3.75e-05,"[-0.9608863805276847, -0.9547288581332762, -0.9595454632669275, -0.9769207090442841, -0.9515690158003411, -0.9891376177703156, -0.9547288581332762, -0.9608863805276846, -0.9547288581332762]"
5.62e-05,"[-0.9860783457232429, -0.9824526661399773, -0.9853180575201516, -0.993990686341326, -0.9804746647097904, -0.9982126207937707, -0.9824526661399774, -0.9860783457232429, -0.9824526661399773]"
7.5e-05,"[-0.9950465209136773, -0.9932045010842064, -0.9946742460005662, -0.9984341308755929, -0.9921368882373921, -0.9997051261153169, -0.9932045010842064, -0.9950465209136773, -0.9932045010842064]"
9.37e-05,"[-0.9981996545155057, -0.9973233536099738, -0.9980287614734551, -0.9995697403879654, -0.9967847047410271, -0.9999353281660005, -0.9973233536099738, -0.9981996545155057, -0.9973233536099738]"
0.0001125,"[-0.9993039322253261, -0.9989052752024049, -0.9992288878308643, -0.9998373763949936, -0.9986456194783683, -0.9999393777048914, -0.9989052752024049, -0.9993039322253261, -0.9989052752024049]"
0.0001312,"[-0.9995906605459304, -0.9994134444132012, -0.9995584481650189, -0.9997951710542211, -0.9992912949177317, -0.99982346940901, -0.9994134444132012, -0.9995906605459304, -0.9994134444132012]"
0.00015,"[-0.9993160275586446, -0.9992392097541356, -0.9993025467044314, -0.9993929095092788, -0.9991832112848471, -0.9994006474777426, -0.9992392097541356, -0.9993160275586446, -0.9992392097541356]"
0.0001687,"[-0.997921727752286, -0.9978888985247353, -0.9979161629138217, -0.9979504267826588, -0.9978636253953777, -0.9979525449383765, -0.9978888985247353, -0.997921727752286, -0.9978888985247353]"
0.0001875,"[-0.9929453249025649, -0.9929316730198409, -0.9929430870796829, -0.9929558220166473, -0.9929205969883684, -0.9929563938255339, -0.992931673019841, -0.992945324902565, -0.9929316730198409]"
0.0002062,"[-0.9760539426473165, -0.9760484712208631, -0.9760530709410169, -0.9760576928550715, -0.9760438234229901, -0.9760578461747251, -0.9760484712208631, -0.9760539426473168, -0.976048471220863]"
0.000225,"[-0.9197178795670676, -0.91971592073251, -0.9197175707961753, -0.9197191143954941, -0.9197142157546137, -0.9197191537538092, -0.9197159207325094, -0.9197178795670671, -0.91971592073251]"
0.0002438,"[-0.7477166958720326, -0.7477162173327492, -0.7477166138533711, -0.747717014934368, -0.7477158449830807, -0.7477170240319664, -0.7477162173327474, -0.7477166958720345, -0.747716217332751]"
0.0002625,"[-0.3377837353363027, -0.33778380509264405, -0.3377837346489593, -0.33778375553760953, -0.33778395917093984, -0.33778375712840025, -0.3377838050926488, -0.3377837353363027, -0.3377838050926535]"
0.0002812,"[0.25858676942770664, 0.25858661679092343, 0.2585867553131984, 0.25858680315641047, 0.25858639610932066, 0.258586803029627, 0.25858661679091455, 0.25858676942770664, 0.25858661679090544]"
0.0003,"[0.7084587493534042, 0.7084586648611642, 0.7084587412355428, 0.7084587688238524, 0.7084585415615883, 0.7084587688401471, 0.7084586648612006, 0.7084587493533678, 0.7084586648611886]"
0.0003187,"[0.9052004064524821, 0.9052003736612817, 0.9052004033907297, 0.9052004134208331, 0.9052003234675259, 0.905200413428749, 0.9052003736613088, 0.905200406452455, 0.9052003736612952]"
0.0003375,"[0.9715829599529084, 0.9715829487929135, 0.9715829589570903, 0.9715829620830547, 0.9715829306905406, 0.9715829620850025, 0.9715829487928995, 0.9715829599528945, 0.9715829487928995]"
0.0003562,"[0.9916300545917993, 0.9916300509318374, 0.9916300542814847, 0.9916300552153177, 0.9916300446237165, 0.991630055215698, 0.9916300509318374, 0.9916300545918275, 0.9916300509318232]"
0.000375,"[0.9975683929764463, 0.9975683918012965, 0.9975683928820283, 0.9975683931547912, 0.9975683896467582, 0.9975683931548431, 0.9975683918012823, 0.9975683929764463, 0.9975683918012681]"
0.0003937,"[0.9992904259775499, 0.9992904256002324, 0.999290425948864, 0.9992904260286171, 0.9992904248646408, 0.9992904260286339, 0.9992904256002324, 0.9992904259775641, 0.9992904256002182]"
0.0004125,"[0.9997944276193815, 0.9997944274993382, 0.9997944276107249, 0.9997944276338901, 0.9997944272504315, 0.9997944276338675, 0.9997944274992814, 0.9997944276193531, 0.9997944274993098]"
0.0004312,"[0.9999400614268155, 0.9999400613883906, 0.9999400614241978, 0.9999400614309135, 0.9999400613038971, 0.9999400614309437, 0.9999400613883906, 0.9999400614268155, 0.9999400613884191]"
0.00045,"[0.9999826398670295, 0.9999826398548595, 0.9999826398662324, 0.9999826398682206, 0.999982639826422, 0.9999826398682081, 0.9999826398548595, 0.9999826398670579, 0.9999826398548595]"
