Tract,CALI
V1,-0.14467564548231449
V2,-0.1311418968041973
V3,-0.12520788916484726
V4,-0.14285028812919676
V5,-0.12987021759595885
V6,-0.13286626312761862
V7,-0.1406455227458936
V8,-0.12417818234533262
V9,-0.12394125861235716
V10,-0.13777473712946287
V11,-0.1632358919243626
V12,-0.13604207196175722
V13,-0.1705392733994774
V14,-0.1476301963076212
V15,-0.14876606910015955
V16,-0.138575142816315
V17,-0.12220060850039838
V18,-0.14571562134274463
V19,-0.10504596657250598
whole GM,13.394076481074633
