MU,CALIs
0.0,"[-0.46211715726000957, -0.46211715726000957, -0.46211715726000957, -0.46211715726000957, -0.46211715726000957, -0.46211715726000957, -0.46211715726000957, -0.46211715726000957, -0.46211715726000957]"
8.8e-06,"[-0.5312662436321507, -0.5270494396949887, -0.5309166578340558, -0.5246614234753061, -0.5309166578340554, -0.5684913971064129, -0.5270494396949887, -0.5312662436321507, -0.5270494396949887]"
1.75e-05,"[-0.6148895631823501, -0.6065863706758208, -0.6140803030163849, -0.6018952168332194, -0.6140803030163846, -0.6792686327923214, -0.6065863706758206, -0.6148895631823501, -0.6065863706758206]"
2.62e-05,"[-0.7044889770080173, -0.6932013552288363, -0.703273232088558, -0.6867921467171049, -0.7032732320885582, -0.7809859922100989, -0.6932013552288361, -0.7044889770080173, -0.6932013552288363]"
3.5e-05,"[-0.7865994334981832, -0.7741756259633324, -0.7851797372643671, -0.7670396204957316, -0.7851797372643672, -0.8599492909269423, -0.7741756259633322, -0.7865994334981832, -0.7741756259633324]"
4.38e-05,"[-0.8478163632114579, -0.8361088375128937, -0.8464396523998639, -0.8292708771368498, -0.8464396523998641, -0.9081677447957719, -0.8361088375128937, -0.8478163632114578, -0.8361088375128936]"
5.25e-05,"[-0.8818959547365643, -0.8720719990752179, -0.8807365195304093, -0.8662161399134257, -0.8807365195304093, -0.9265005997373132, -0.8720719990752179, -0.8818959547365643, -0.8720719990752179]"
6.13e-05,"[-0.8858062279038827, -0.8783683870274763, -0.8849480726098953, -0.873830308115057, -0.8849480726098953, -0.9159468875640424, -0.8783683870274764, -0.8858062279038829, -0.8783683870274765]"
7e-05,"[-0.850388357602336, -0.8453338287279797, -0.8498414348316417, -0.8421728541210506, -0.8498414348316417, -0.8692254396906718, -0.8453338287279797, -0.850388357602336, -0.8453338287279797]"
7.88e-05,"[-0.7540861133120578, -0.7512425830050546, -0.7538305830990435, -0.7494190483325538, -0.7538305830990435, -0.7645224158657142, -0.7512425830050546, -0.7540861133120582, -0.7512425830050546]"
8.75e-05,"[-0.5685750833107149, -0.5675887813615832, -0.5685609730964714, -0.5669446882933851, -0.5685609730964728, -0.5732528820370659, -0.5675887813615824, -0.5685750833107142, -0.5675887813615832]"
9.63e-05,"[-0.2709506894167856, -0.2713484895227013, -0.2711070486605145, -0.27163044046063256, -0.2711070486605145, -0.27199236747599187, -0.2713484895226974, -0.2709506894167881, -0.2713484895227013]"
0.000105,"[0.09540145309523496, 0.09427781362232701, 0.09517073055330649, 0.09347714887756142, 0.09517073055330472, 0.09611559281364723, 0.09427781362233101, 0.09540145309523318, 0.09427781362233101]"
0.0001138,"[0.44436401664051006, 0.44311524151386084, 0.44414237907320553, 0.4422002347226597, 0.44414237907320553, 0.4455331259945292, 0.44311524151386084, 0.44436401664051006, 0.44311524151386084]"
0.0001225,"[0.6946701632571182, 0.6936386493543594, 0.6944990328118648, 0.6928596089020596, 0.694499032811871, 0.6956625854189264, 0.6936386493543716, 0.6946701632571182, 0.6936386493543594]"
0.0001313,"[0.8458030387015891, 0.8450718297391682, 0.845686832745058, 0.8445018630728003, 0.8456868327450449, 0.8464767049974113, 0.8450718297391748, 0.8458030387015891, 0.8450718297391748]"
0.00014,"[0.9248227748733391, 0.924341707544931, 0.9247487286574609, 0.9239546526031643, 0.9247487286574609, 0.9252376954387105, 0.9243417075449241, 0.9248227748733322, 0.9243417075449241]"
0.0001488,"[0.9644429036095814, 0.964140759502101, 0.9643976532601939, 0.9638896983709735, 0.9643976532601939, 0.964684605314611, 0.964140759502101, 0.9644429036095814, 0.9641407595020939]"
0.0001575,"[0.9832153311099789, 0.9830286849749361, 0.983188058723764, 0.9828685661958478, 0.983188058723764, 0.9833535567903955, 0.9830286849749361, 0.9832153311099789, 0.9830286849749221]"
0.0001663,"[0.9921827768056704, 0.9920695040411822, 0.9921666136394769, 0.991969147081144, 0.9921666136394769, 0.9922603558986853, 0.9920695040411751, 0.9921827768056561, 0.9920695040411751]"
0.000175,"[0.9963349409086029, 0.9962662942565479, 0.9963253672168899, 0.9962035113046868, 0.9963253672168899, 0.9963785021644282, 0.996266294256555, 0.9963349409086029, 0.9962662942565621]"
0.0001838,"[0.9982977590418669, 0.998256584544327, 0.9982921468133898, 0.9982177016809837, 0.998292146813397, 0.9983219825094094, 0.9982565845443128, 0.9982977590418669, 0.998256584544327]"
0.0001925,"[0.9992025037665024, 0.9991777417320553, 0.9991992040465254, 0.999153608855893, 0.9991992040465396, 0.9992160433758261, 0.9991777417320764, 0.9992025037664953, 0.9991777417320624]"
0.0002013,"[0.9996294981632126, 0.9996147292578912, 0.9996275746674614, 0.9995998712240564, 0.9996275746674401, 0.9996370098750187, 0.9996147292579054, 0.9996294981631912, 0.9996147292579054]"
0.00021,"[0.9998262720336795, 0.9998174288579962, 0.9998251461984826, 0.9998082498694638, 0.9998251461984826, 0.9998304659124355, 0.9998174288579962, 0.9998262720336795, 0.999817428857982]"
