Tract,CALI
V1,-0.41631791824291164
V2,-0.40985791094714596
V3,-0.3646207879595219
V4,-0.38503819056211297
V5,-0.40762960403475346
V6,-0.40410668530689886
V7,-0.4071704513644385
V8,-0.34624220522245563
V9,-0.3946190207981717
V10,-0.3753116822083492
V11,-0.4426549941284561
V12,-0.3933471762861177
V13,-0.4539115954399263
V14,-0.43205215363998184
V15,-0.3922216993872174
V16,-0.35510583791744665
V17,-0.3920157430061225
V18,-0.40769888741934524
V19,-0.2660179104615028
whole GM,17.087822434639094
