MU,CALIs
0.0,"[-0.04995837495788025, -0.04995837495788025, -0.04995837495788025, -0.04995837495788025, -0.04995837495788025, -0.04995837495788025, -0.04995837495788025, -0.04995837495788025, -0.04995837495788025]"
2.7e-06,"[-0.04450274747585503, -0.044965140659452896, -0.042407800400587226, -0.04520771763527265, -0.04454410458230684, -0.0385108712835035, -0.044965140659452896, -0.04450274747585503, -0.044965140659452896]"
5.4e-06,"[-0.03758616717071639, -0.03862752733413399, -0.03303248848325124, -0.03916615758386821, -0.0376981502139041, -0.02496143663167072, -0.03862752733413399, -0.03758616717071728, -0.03862752733413399]"
8.1e-06,"[-0.028750004449628386, -0.030511758806752387, -0.021319213762263867, -0.031412409334587665, -0.028967667884463477, -0.008810504627519422, -0.0305117588067515, -0.028750004449628386, -0.030511758806752387]"
1.08e-05,"[-0.017395558507504738, -0.020046688747257013, -0.006617758360042414, -0.021389648748868062, -0.017760259963696012, 0.01055642712976712, -0.020046688747257013, -0.017395558507504738, -0.020046688747257013]"
1.35e-05,"[-0.0027584758913890006, -0.00649621181680804, 0.01187560969596424, -0.00837716112932152, -0.0033179020273544912, 0.03387578858764817, -0.00649621181680804, -0.0027584758913881124, -0.00649621181680804]"
1.62e-05,"[0.016103664531290418, 0.011057051838291976, 0.03511655818203585, 0.00852765696805724, 0.015296383469815433, 0.06199352266218949, 0.011057051838291976, 0.016103664531291306, 0.011057051838291976]"
1.9e-05,"[0.04130605001512877, 0.034651002896988414, 0.06537676866229725, 0.0313205954010094, 0.0401823377027426, 0.09719076365113244, 0.0346510028969893, 0.04130605001512877, 0.0346510028969893]"
2.17e-05,"[0.07227007626012405, 0.06382590985642778, 0.10161091966611191, 0.05959619914760195, 0.07078537206840663, 0.13784178199192776, 0.06382590985642889, 0.07227007626012405, 0.06382590985642889]"
2.44e-05,"[0.11089178011336132, 0.10045917527521087, 0.1456927679076312, 0.0952169417504325, 0.1089995235573602, 0.18572703809140045, 0.10045917527521087, 0.11089178011336132, 0.10045917527521087]"
2.71e-05,"[0.15793469186870168, 0.14538834567830627, 0.19809182046035168, 0.13905137188219663, 0.15560531690439028, 0.24101736926551487, 0.14538834567830627, 0.15793469186870168, 0.14538834567830627]"
2.98e-05,"[0.2135093847613596, 0.19884076293432495, 0.25854073178848513, 0.19138036282621185, 0.2107395115455708, 0.30316832995575704, 0.19884076293432495, 0.2135093847613596, 0.19884076293432495]"
3.25e-05,"[0.2767975092029813, 0.2601486542041165, 0.32580933530580025, 0.25160938021892276, 0.2736169164703268, 0.3707571455607239, 0.2601486542041176, 0.2767975092029813, 0.2601486542041176]"
3.52e-05,"[0.34595308403760083, 0.32762725900433143, 0.3976852263940478, 0.31813637210075396, 0.3424264266648571, 0.44152242836349753, 0.32762725900433143, 0.34595308403760083, 0.3276272590043303]"
3.79e-05,"[0.4182873542743455, 0.39872725192597325, 0.4712432353407301, 0.38848829826899656, 0.4145087892367578, 0.5126625033655812, 0.39872725192597325, 0.4182873542743455, 0.39872725192597325]"
4.06e-05,"[0.49072087642830065, 0.47045679416488273, 0.5433530912697355, 0.4597271031980972, 0.486802353324149, 0.5813238255439603, 0.4704567941648814, 0.490720876428302, 0.47045679416488273]"
4.33e-05,"[0.5603443702911617, 0.5399268948850116, 0.6112428092534083, 0.5289852094464418, 0.5564009154565785, 0.6451020041721223, 0.5399268948850144, 0.5603443702911617, 0.5399268948850131]"
4.6e-05,"[0.6248773510527428, 0.6048140250644058, 0.6729091702263976, 0.5939277992630312, 0.6210135907378771, 0.7023730083705215, 0.6048140250644058, 0.6248773510527457, 0.6048140250644058]"
4.87e-05,"[0.6828883518678572, 0.6635991688990319, 0.727264360836898, 0.6529996048532352, 0.6791893711235617, 0.7523739223636776, 0.6635991688990288, 0.6828883518678572, 0.6635991688990259]"
5.15e-05,"[0.7355192659173719, 0.7173608847349209, 0.7756345242749365, 0.7072494089558476, 0.7320559943707046, 0.7965226119259432, 0.717360884734918, 0.7355192659173688, 0.717360884734918]"
5.42e-05,"[0.7790668483614824, 0.7622038991082638, 0.814920157127563, 0.7526924709011533, 0.7758697976805, 0.8321647367071956, 0.7622038991082638, 0.7790668483614824, 0.7622038991082638]"
5.69e-05,"[0.8160262508918938, 0.8005644688563145, 0.8476896781928389, 0.7917309474663385, 0.8131137974997509, 0.8617703419813423, 0.800564468856305, 0.8160262508918938, 0.8005644688563114]"
5.96e-05,"[0.8470970214930347, 0.8330671303873105, 0.8747917066889275, 0.8249489849839347, 0.8444723032883563, 0.8861904799131322, 0.8330671303873136, 0.8470970214930347, 0.8330671303873105]"
6.23e-05,"[0.873051410452655, 0.8604289012540289, 0.8970877690686077, 0.8530323752348223, 0.8707066374144745, 0.9062544400387773, 0.8604289012540356, 0.8730514104526617, 0.8604289012540323]"
6.5e-05,"[0.8946443468780332, 0.8833669841060081, 0.9153762975689803, 0.8766756765148724, 0.8925645239447375, 0.9227107039147646, 0.8833669841060114, 0.8946443468780299, 0.8833669841060015]"
