Tract,Z_i,time,P_i
V1,15.3612250203176,0.09472894668579102,0.9798717140218339
V2,14.95982977136102,0.10978221893310547,0.9542672553881584
V3,15.194655261803494,0.14115405082702637,0.969246454997014
V4,15.361879654027028,0.11507296562194824,0.9799134722184665
V5,15.187136139693314,0.12337779998779297,0.9687668203936346
V6,14.743627778083097,0.11304926872253418,0.940476023409721
V7,15.52419349898709,0.11415505409240723,0.990267252288749
V8,15.27516454494096,0.13932585716247559,0.9743820329967006
V9,15.53158587401936,0.13571524620056152,0.9907388018678992
V10,15.331510486554556,0.21968889236450195,0.9779762642063901
V11,15.871616445456905,0.20902514457702637,1.0124288909339496
V12,15.425918414576792,0.16202807426452637,0.9839984179165299
V13,15.00942887451013,0.10579872131347656,0.9574311149210004
V14,15.333296276110929,0.11724972724914551,0.9780901773006369
V15,15.452652153697649,0.1724390983581543,0.9857037268837456
V16,15.279350420063782,0.1337578296661377,0.9746490442946834
V17,15.48287637720832,0.12978911399841309,0.9876316891170447
V18,15.82226013538517,0.11619830131530762,1.0092805188422826
V19,15.34393962217315,0.07807493209838867,0.9787691019134279
whole GM,15.676771561522301,0.15535378456115723,N/A
