Tract,CALI
V1,-0.06348197572304493
V2,-0.04556202206246818
V3,-0.04950664378255509
V4,-0.05497082610036996
V5,-0.04315262134309128
V6,-0.048228109003826125
V7,-0.055437421978855816
V8,-0.05604152163108722
V9,-0.042696733974954326
V10,-0.05824135325877766
V11,-0.0718087969013903
V12,-0.059782688501105685
V13,-0.05381596380732245
V14,-0.05246212347143986
V15,-0.06704762711165624
V16,-0.05319098514037002
V17,-0.03989448405329599
V18,-0.06388041179936221
V19,-0.046014863949900286
whole GM,13.32001711590155
