MU,CALIs
0.0,"[-0.46211715726000957, -0.46211715726000957, -0.46211715726000957, -0.46211715726000957, -0.46211715726000957, -0.46211715726000957, -0.46211715726000957, -0.46211715726000957, -0.46211715726000957]"
8.8e-06,"[-0.5522204515984023, -0.5457706631041356, -0.550721742576382, -0.5739446985300485, -0.5507217425763816, -0.6028187796424292, -0.5457706631041356, -0.5522204515984023, -0.5457706631041356]"
1.75e-05,"[-0.6599304197147603, -0.6477934925699431, -0.6571578517149476, -0.6982664369011955, -0.6571578517149476, -0.7427198626838887, -0.6477934925699431, -0.6599304197147606, -0.6477934925699431]"
2.62e-05,"[-0.7665727584674921, -0.7513277825649743, -0.763159922123062, -0.8112753863198874, -0.7631599221230623, -0.8557925752907523, -0.7513277825649746, -0.766572758467492, -0.7513277825649743]"
3.5e-05,"[-0.852404277421943, -0.8372034372451692, -0.8490760776275745, -0.8934493172111801, -0.8490760776275743, -0.9280687328374595, -0.8372034372451692, -0.8524042774219431, -0.8372034372451692]"
4.38e-05,"[-0.9093330289639519, -0.8962814541778779, -0.9065393023602846, -0.9416579447491055, -0.9065393023602845, -0.9645731863040402, -0.8962814541778777, -0.9093330289639519, -0.8962814541778779]"
5.25e-05,"[-0.9422977967614206, -0.9320501009087904, -0.9401515722393624, -0.9655766345335797, -0.9401515722393625, -0.9794276619829604, -0.9320501009087904, -0.9422977967614207, -0.9320501009087904]"
6.13e-05,"[-0.9594775352751524, -0.951900423405864, -0.9579235495768625, -0.9752649726181858, -0.9579235495768627, -0.9831343697096365, -0.951900423405864, -0.9594775352751524, -0.951900423405864]"
7e-05,"[-0.9654319718205581, -0.9600188396465245, -0.9643430911534685, -0.9758114651072207, -0.9643430911534685, -0.980166298748926, -0.9600188396465245, -0.9654319718205581, -0.9600188396465245]"
7.88e-05,"[-0.962359604209609, -0.9586190999318768, -0.9616206086034139, -0.9689757908213346, -0.9616206086034139, -0.9713189144096666, -0.9586190999318769, -0.9623596042096091, -0.9586190999318769]"
8.75e-05,"[-0.94982108037371, -0.9472954052216913, -0.9493299676045889, -0.9539632093883019, -0.949329967604589, -0.9552120933295531, -0.9472954052216912, -0.94982108037371, -0.9472954052216913]"
9.63e-05,"[-0.9245711831884409, -0.9229265674543623, -0.9242556674889871, -0.9270838177208031, -0.9242556674889875, -0.9277335308391937, -0.9229265674543623, -0.924571183188441, -0.9229265674543624]"
0.000105,"[-0.8816630672767412, -0.8806318847816476, -0.8814670452775367, -0.8831438012695858, -0.8814670452775363, -0.8834770943972401, -0.8806318847816464, -0.8816630672767412, -0.8806318847816469]"
0.0001138,"[-0.8116578335578889, -0.8110562396358438, -0.8115436405330109, -0.8124805959028023, -0.8115436405330109, -0.8126450211790108, -0.8110562396358445, -0.8116578335578896, -0.8110562396358432]"
0.0001225,"[-0.7056468303760179, -0.7053321407708784, -0.705586119751391, -0.7060690577821312, -0.7055861197513931, -0.7061470570389305, -0.7053321407708784, -0.7056468303760189, -0.7053321407708784]"
0.0001313,"[-0.5511741481994921, -0.5510471444171994, -0.5511477580436854, -0.5513566787664885, -0.551147758043687, -0.55139072518714, -0.5510471444171994, -0.5511741481994936, -0.5510471444171994]"
0.00014,"[-0.3485002773259954, -0.34848350003592565, -0.3484937819103179, -0.3485528597601647, -0.3484937819103179, -0.3485661738922389, -0.34848350003592565, -0.34850027732599775, -0.34848350003592565]"
0.0001488,"[-0.10369721669927356, -0.10373636908613915, -0.10370085977244914, -0.10368743537444225, -0.10370085977244603, -0.10369156960770898, -0.10373636908613915, -0.10369721669927356, -0.10373636908614237]"
0.0001575,"[0.15163772818291754, 0.15158030131567934, 0.15163050261819078, 0.15166866352898345, 0.15163050261819078, 0.15166795935903732, 0.15158030131567113, 0.15163772818290933, 0.15158030131567934]"
0.0001663,"[0.390795517533451, 0.3907408108444632, 0.39078827444444775, 0.3908271724303871, 0.39078827444444775, 0.3908274706078467, 0.390740810844473, 0.390795517533461, 0.3907408108444632]"
0.000175,"[0.5848128467856542, 0.5847694285884864, 0.584807049361566, 0.5848376224473444, 0.5848070493615605, 0.5848380315802093, 0.5847694285884808, 0.5848128467856542, 0.5847694285884864]"
0.0001838,"[0.7304666035184497, 0.7304357074403347, 0.7304625037481733, 0.7304835214216328, 0.7304625037481858, 0.730483816335477, 0.7304357074403409, 0.7304666035184557, 0.7304357074403593]"
0.0001925,"[0.8295723767389471, 0.8295517118931368, 0.8295696700217232, 0.8295831166826011, 0.8295696700217168, 0.8295832918705783, 0.8295517118931304, 0.8295723767389342, 0.8295517118931304]"
0.0002013,"[0.8950502904573285, 0.8950371035010092, 0.8950485921755882, 0.8950567554028444, 0.8950485921755815, 0.895056849270425, 0.8950371035010158, 0.8950502904573352, 0.8950371035010092]"
0.00021,"[0.935883019041202, 0.9358747852030871, 0.9358819785643493, 0.9358868189078913, 0.9358819785643493, 0.9358868668873208, 0.9358747852031009, 0.9358830190412157, 0.9358747852031009]"
