Tract,Z_i,time,P_i
V1,15.316702055380372,3.3608059883117676,0.8604806881098329
V2,14.9139172611202,3.3564679622650146,0.8483940840299413
V3,15.123209542694605,3.2647953033447266,0.7718219693067055
V4,15.31442456379143,3.37674617767334,0.8266095579923999
V5,15.153938012908277,2.8777027130126953,0.8799067957427643
V6,14.668562129434864,2.879595994949341,0.8257188789386591
V7,15.457458086720496,2.99930477142334,0.8223164392315216
V8,15.238774538402051,3.015817403793335,0.872528387970327
V9,15.490105258492681,2.9896459579467773,0.8702223483572564
V10,15.24453787281064,2.9111640453338623,0.8659016376285363
V11,15.804541378771157,2.951396942138672,0.9044701082485409
V12,15.382168272349446,2.9345412254333496,0.8750310420345006
V13,14.941478740698788,2.9122650623321533,0.7625472300336619
V14,15.264630283200283,2.815037250518799,0.8239218678282317
V15,15.406562724956832,2.8148410320281982,0.8945753393724621
V16,15.234130863390305,2.669055223464966,0.8575557268071582
V17,15.422744076782099,2.149513006210327,0.8204696995616587
V18,15.770318197733225,2.15983510017395,0.9029630486474913
V19,15.300717633108047,2.0177011489868164,0.8595826954070829
whole GM,15.583298380031476,1.6692500114440918,N/A
