MU,CALIs
0.0,"[-0.09966799462495568, -0.09966799462495568, -0.09966799462495568, -0.09966799462495568, -0.09966799462495568, -0.09966799462495568, -0.09966799462495568, -0.09966799462495568, -0.09966799462495568]"
5e-06,"[-0.07602216479682378, -0.078542311206096, -0.07682951748274047, -0.06805011170634234, -0.07958641975731906, -0.07682951748274047, -0.07854231120609512, -0.07602216479682378, -0.07854231120609512]"
1e-05,"[-0.04353176633593303, -0.049138972493749544, -0.04524121512902579, -0.025771427776843936, -0.051517148806405455, -0.04524121512902579, -0.049138972493749544, -0.04353176633593303, -0.049138972493749544]"
1.5e-05,"[0.0021464275152804912, -0.007251705778083095, -0.0005725120664520356, 0.03171612148273839, -0.011340083292521452, -0.0005725120664511474, -0.007251705778082207, 0.0021464275152813794, -0.007251705778082207]"
2e-05,"[0.06706226991740438, 0.05309651709931651, 0.06323596871113923, 0.1103045990211835, 0.04685262632542697, 0.06323596871113835, 0.05309651709931651, 0.06706226991740438, 0.05309651709931651]"
2.5e-05,"[0.15810653799925967, 0.13894774021612588, 0.15313963439784062, 0.21587995238760405, 0.13012771775595833, 0.1531396343978415, 0.13894774021612588, 0.15810653799925878, 0.13894774021612588]"
3e-05,"[0.27937595789078973, 0.255011040055412, 0.2733939709822173, 0.3501602238722319, 0.24344291719078281, 0.2733939709822186, 0.2550110400554131, 0.27937595789078973, 0.2550110400554131]"
3.5e-05,"[0.4254615897263452, 0.3970369683326973, 0.41883512069822215, 0.5042023068322992, 0.3831043864409216, 0.41883512069822326, 0.3970369683326973, 0.42546158972634385, 0.3970369683326973]"
4e-05,"[0.5775862513403347, 0.547481101329863, 0.5708940946539001, 0.6564081329986264, 0.5322421932707186, 0.5708940946539014, 0.547481101329863, 0.5775862513403334, 0.547481101329863]"
4.5e-05,"[0.71166328463107, 0.6826685516078042, 0.7054852323681318, 0.78294187010819, 0.6675175290180428, 0.7054852323681318, 0.6826685516078042, 0.7116632846310715, 0.6826685516078057]"
5e-05,"[0.8130927420928187, 0.7872950183051768, 0.8077946848005852, 0.8723951039673246, 0.7733921321504988, 0.8077946848005852, 0.7872950183051801, 0.8130927420928122, 0.7872950183051801]"
5.5e-05,"[0.8816875846010006, 0.8600086659643993, 0.8773741055516424, 0.9282031146267009, 0.8479748967660514, 0.8773741055516424, 0.8600086659644026, 0.8816875846010006, 0.8600086659643993]"
6e-05,"[0.9251870789931951, 0.9076338545427782, 0.9217881257346792, 0.9603426363401648, 0.8976121932463637, 0.9217881257346723, 0.9076338545427716, 0.9251870789931984, 0.9076338545427749]"
6.5e-05,"[0.9521010090911939, 0.9382099063739673, 0.9494737641939823, 0.9781019224571352, 0.9300643051449742, 0.9494737641939823, 0.9382099063739708, 0.9521010090911906, 0.9382099063739708]"
7e-05,"[0.9687793424179609, 0.9579383438132687, 0.9667710039706132, 0.9877802680645955, 0.9514176745928826, 0.9667710039706061, 0.9579383438132687, 0.9687793424179574, 0.9579383438132687]"
7.5e-05,"[0.9792760642283778, 0.9708884011800842, 0.977750802401659, 0.9930725039126145, 0.9657194744102757, 0.9777508024016484, 0.9708884011800911, 0.9792760642283884, 0.9708884011800878]"
8e-05,"[0.9860202433916649, 0.9795672934563395, 0.9848665381993782, 0.9960038654042491, 0.975496998328647, 0.9848665381993746, 0.9795672934563362, 0.9860202433916649, 0.9795672934563395]"
8.5e-05,"[0.9904440151412537, 0.9854990199423914, 0.9895737451759115, 0.9976556816132736, 0.9823090903802116, 0.9895737451759079, 0.9854990199423983, 0.9904440151412572, 0.9854990199423947]"
9e-05,"[0.9933992909156819, 0.9896210108152761, 0.9927441742080092, 0.9986036017809006, 0.987130109639756, 0.9927441742080056, 0.989621010815269, 0.9933992909156819, 0.989621010815269]"
9.5e-05,"[0.9954036050164683, 0.992523563374156, 0.9949112873018673, 0.9991571421835808, 0.9905842002693861, 0.9949112873018602, 0.9925235633741596, 0.9954036050164718, 0.9925235633741596]"
0.0001,"[0.9967794112333141, 0.9945884355362182, 0.996409992688869, 0.9994855016259907, 0.9930822108178334, 0.9964099926888761, 0.9945884355362182, 0.9967794112333141, 0.9945884355362182]"
0.000105,"[0.9977326975614829, 0.9960688518880003, 0.9974558848387827, 0.9996829660795599, 0.9949015415127453, 0.9974558848387896, 0.9960688518880003, 0.9977326975614971, 0.9960688518880003]"
0.00011,"[0.9983980259736789, 0.9971365005412882, 0.9981908797105585, 0.9998031067214872, 0.9962335819168939, 0.9981908797105514, 0.997136500541274, 0.9983980259736789, 0.9971365005412811]"
0.000115,"[0.9988649746052367, 0.9979098966590592, 0.9987101596342272, 0.9998769228101176, 0.9972127045277572, 0.9987101596342272, 0.9979098966590663, 0.9988649746052438, 0.9979098966590592]"
0.00012,"[0.9991941010196239, 0.9984720250490666, 0.9990785400601601, 0.9999226498285756, 0.9979345497876475, 0.9990785400601743, 0.9984720250490595, 0.9991941010196239, 0.9984720250490737]"
