Tract,CALI
V1,-0.260977979978643
V2,-0.25704314984698373
V3,-0.24104429692187557
V4,-0.2505254764504521
V5,-0.25580772515996764
V6,-0.2556225845144019
V7,-0.25651764492142115
V8,-0.23913995353889528
V9,-0.25066213501823287
V10,-0.2487127775352408
V11,-0.26606683666425335
V12,-0.25465906738071165
V13,-0.2669943352223233
V14,-0.2628606668668141
V15,-0.25888598153951015
V16,-0.23933768858942395
V17,-0.2497061767789388
V18,-0.26002133679790307
V19,-0.1947664601152721
whole GM,20.369771848342594
