Tract,CALI
V1,-0.7622891567277265
V2,-0.7623639834694644
V3,-0.7620767214136265
V4,-0.7621368616502089
V5,-0.7623312302045396
V6,-0.7623171352049785
V7,-0.7622445651364449
V8,-0.7619945476140317
V9,-0.762237325397436
V10,-0.7620776048144419
V11,-0.7625306455044483
V12,-0.7621517443280641
V13,-0.763212970140175
V14,-0.7624850836037066
V15,-0.7621107578544681
V16,-0.7620300733224503
V17,-0.7622519858713726
V18,-0.762240517885497
V19,-0.7618493143613544
whole GM,21.422456899837496
