MU,CALIs
0.0,"[-0.7615941559557649, -0.7615941559557649, -0.7615941559557649, -0.7615941559557649, -0.7615941559557649, -0.7615941559557649, -0.7615941559557649, -0.7615941559557649, -0.7615941559557649]"
1.87e-05,"[-0.8934138977792567, -0.88630705376039, -0.8918078992054584, -0.9148720347825676, -0.8828871102382712, -0.8918078992054582, -0.9388484563280796, -0.8863070537603901, -0.8863070537603901]"
3.75e-05,"[-0.9606181854135825, -0.9544278873248087, -0.959270027089899, -0.9763599393198266, -0.9512651077269773, -0.9592700270898991, -0.9887991776113308, -0.9544278873248087, -0.9544278873248085]"
5.62e-05,"[-0.9859456749021763, -0.9822890623041504, -0.9851788188778557, -0.993771558273284, -0.9803029388101874, -0.9851788188778557, -0.9981285400891157, -0.9822890623041504, -0.9822890623041504]"
7.5e-05,"[-0.9949867040757804, -0.9931236686907472, -0.9946101470729746, -0.9983581847698714, -0.9920486545658151, -0.9946101470729746, -0.999686588451029, -0.9931236686907472, -0.9931236686907472]"
9.37e-05,"[-0.9981719478598622, -0.9972832466066543, -0.9979986247133307, -0.9995429548353817, -0.9967394201434668, -0.9979986247133307, -0.9999297261277151, -0.9972832466066543, -0.9972832466066543]"
0.0001125,"[-0.999285783543763, -0.9988804004296553, -0.9992094691860791, -0.9998222525460664, -0.9986175621496677, -0.9992094691860791, -0.9999314631171737, -0.9988804004296553, -0.9988804004296553]"
0.0001312,"[-0.999557984199994, -0.9993773094123259, -0.999525141517505, -0.9997645907951951, -0.9992533516536939, -0.999525141517505, -0.999795247426656, -0.9993773094123259, -0.9993773094123259]"
0.00015,"[-0.999203273405167, -0.9991247705800148, -0.9991894955786808, -0.9992812603961857, -0.9990678160453109, -0.9991894955786808, -0.9992897416445506, -0.9991247705800148, -0.9991247705800148]"
0.0001687,"[-0.9974906332836616, -0.997457031724587, -0.9974849360467467, -0.9975198371603056, -0.9974312944746138, -0.9974849360467467, -0.9975221852583167, -0.997457031724587, -0.997457031724587]"
0.0001875,"[-0.9912866017474867, -0.9912726434761842, -0.9912843117714125, -0.991297293589426, -0.9912613849141036, -0.9912843117714126, -0.9912979342470691, -0.991272643476184, -0.9912726434761842]"
0.0002062,"[-0.9698533842128242, -0.9698478442171785, -0.9698524990187718, -0.9698571820332781, -0.969843177993914, -0.9698524990187717, -0.9698573552087996, -0.9698478442171783, -0.9698478442171785]"
0.000225,"[-0.8976197177754105, -0.8976178165017904, -0.8976194145320153, -0.8976209330377966, -0.8976161951322597, -0.897619414532015, -0.8976209774869699, -0.8976178165017912, -0.8976178165017904]"
0.0002438,"[-0.6803412125213117, -0.6803408456996081, -0.6803411435909659, -0.6803414892620514, -0.6803406078018917, -0.6803411435909659, -0.680341499273589, -0.6803408456996081, -0.6803408456996057]"
0.0002625,"[-0.2002512213713491, -0.2002513826150074, -0.2002512313728273, -0.2002512093453046, -0.2002516479004749, -0.2002512313728273, -0.20025121094375153, -0.20025138261501307, -0.2002513826150074]"
0.0002812,"[0.4001057795073433, 0.4001055925530499, 0.4001057614833179, 0.40010582426504704, 0.40010532847309643, 0.4001057614833279, 0.40010582417187757, 0.4001055925530499, 0.4001055925530499]"
0.0003,"[0.7833211325404261, 0.7833210416188929, 0.7833211237117641, 0.7833211538927605, 0.7833209098051559, 0.7833211237117894, 0.7833211539148319, 0.7833210416189056, 0.7833210416188929]"
0.0003187,"[0.9329525414427524, 0.9329525078036451, 0.9329525382900334, 0.9329525486379806, 0.9329524564340521, 0.932952538290061, 0.9329525486464718, 0.9329525078036451, 0.9329525078036176]"
0.0003375,"[0.9805198282247998, 0.980519816967512, 0.9805198272188667, 0.9805198303788458, 0.9805197987240881, 0.9805198272188385, 0.9805198303808462, 0.980519816967512, 0.980519816967512]"
0.0003562,"[0.9944001094549177, 0.9944001057840406, 0.9944001091434913, 0.9944001100808613, 0.9944000994594264, 0.9944001091434913, 0.9944001100813071, 0.9944001057840406, 0.9944001057840406]"
0.000375,"[0.9984089510857921, 0.9984089499094095, 0.9984089509912635, 0.9984089512643599, 0.9984089477529989, 0.9984089509912635, 0.998408951264449, 0.998408949909438, 0.9984089499094095]"
0.0003937,"[0.9995455734382594, 0.9995455730607659, 0.9995455734095551, 0.9995455734893297, 0.9995455723249489, 0.9995455734095409, 0.9995455734893319, 0.9995455730607659, 0.9995455730607516]"
0.0004125,"[0.9998711317903277, 0.9998711316702795, 0.9998711317817277, 0.9998711318048583, 0.999871131421364, 0.9998711317816993, 0.9998711318048379, 0.9998711316702795, 0.9998711316702795]"
0.0004312,"[0.99996321433576, 0.9999632142974482, 0.9999632143331989, 0.9999632143398867, 0.9999632142128996, 0.9999632143332273, 0.9999632143398902, 0.9999632142973913, 0.9999632142974197]"
0.00045,"[0.9999895702194124, 0.999989570207299, 0.9999895702187009, 0.9999895702205999, 0.9999895701787784, 0.9999895702186157, 0.999989570220631, 0.9999895702072705, 0.9999895702072705]"
