Tract,logZi/logZ
1,0.9812938662371936
2,0.9794887872184824
3,0.9763219818813335
4,0.9778431286422395
5,0.979448406342998
6,0.9792422796849715
7,0.9797583613058145
8,0.9741828795917681
9,0.9777640774906835
10,0.97652619925158
11,0.9844824199352125
12,0.9784751604318881
13,0.9812016554025603
14,0.9810623105585577
15,0.9778093618001515
16,0.9749324723831849
17,0.9772840029089349
18,0.9798418084228323
19,0.9687289381136845
