Tract,CALI
V1,-0.06982932758724358
V2,-0.07321674757316343
V3,-0.06496914204093684
V4,-0.06661799093650123
V5,-0.0719915490337657
V6,-0.07135834219198534
V7,-0.0706175626466311
V8,-0.06300172589399566
V9,-0.072106360847625
V10,-0.06649329277989346
V11,-0.07717725915187046
V12,-0.06746171135718992
V13,-0.10140545067820217
V14,-0.07973286594766682
V15,-0.06704762711165624
V16,-0.06486008591415882
V17,-0.07292015884091607
V18,-0.06910855186829701
V19,-0.05852596395859877
whole GM,13.32001711590155
