Tract,logZi,time,CALI
V1,12.49913988132428,0.48467397689819336,0.04995837495787869
V2,12.49913988132428,0.42980003356933594,0.04995837495787869
V3,12.49913988132428,0.45491576194763184,0.04995837495787869
V4,12.49913988132428,0.5143389701843262,0.04995837495787869
V5,12.49913988132428,0.5218949317932129,0.04995837495787869
V6,12.49913988132428,0.4203910827636719,0.04995837495787869
V7,12.49913988132428,0.4394502639770508,0.04995837495787869
V8,12.49913988132428,0.43349599838256836,0.04995837495787869
V9,12.49913988132428,0.4391641616821289,0.04995837495787869
V10,12.49913988132428,0.4570009708404541,0.04995837495787869
V11,12.49913988132428,0.43788695335388184,0.04995837495787869
V12,12.49913988132428,0.48693180084228516,0.04995837495787869
V13,12.49913988132428,0.428210973739624,0.04995837495787869
V14,12.49913988132428,0.43696093559265137,0.04995837495787869
V15,12.49913988132428,0.40387392044067383,0.04995837495787869
V16,12.49913988132428,0.42135000228881836,0.04995837495787869
V17,12.49913988132428,0.38982295989990234,0.04995837495787869
V18,12.49913988132428,0.3696298599243164,0.04995837495787869
V19,12.49913988132428,0.36638808250427246,0.04995837495787869
whole GM,13.193536541397853,0.5014829635620117,N/A
