Tract index,CALI
1,0.030273261425976417
2,0.039046773857354555
3,0.05142357632498862
4,0.039084313422357075
5,0.03628818965733904
6,0.03713061595556777
7,0.04516553938568979
8,0.02224666798204855
9,0.04118233365270019
10,0.025130178248206736
11,0.02983885595622282
12,0.02648604849065861
13,0.08025758322182086
14,0.050545549668908896
15,0.01660363034371981
16,0.02803333712070244
17,0.05331847400701761
18,0.024797068006549683
19,0.026691497117841134
whole GM,13.181354423362306
