Tract,logZi,time,CALI
V1,7.612464612567039,13.438591241836548,-0.4329175991876234
V2,7.751031266737249,12.075652837753296,-0.34287667176326675
V3,8.367150246187972,12.581343173980713,0.23545111118505768
V4,8.833428370195014,14.23365592956543,0.9435450280190136
V5,7.817221902712383,14.376291036605835,-0.3003626173453562
V6,8.510923641409505,13.642279148101807,0.40453852344451247
V7,8.59688340940981,12.178247928619385,0.5415199632459091
V8,8.292657909514144,14.404102802276611,0.11565587852601023
V9,8.458746220641515,12.988703966140747,0.33807439260291594
V10,6.895467499754377,15.340413093566895,-0.7234732813156992
V11,7.596557879803037,13.740747928619385,-0.4442060243981988
V12,7.604676581381172,16.2932448387146,-0.43832887055383907
V13,8.116294218038929,14.978480100631714,-0.0215826605264009
V14,7.915816405127714,15.178290843963623,-0.21705897528543816
V15,8.02637273243857,14.986739873886108,-0.15070020388941718
V16,8.118766476712956,14.534712076187134,-0.056867666691802765
V17,8.974960182021372,12.475625276565552,1.2710588158286606
V18,9.146974490902526,11.782224178314209,1.619173998241282
V19,7.90262610991214,10.816879987716675,-0.23958352376202208
whole GM,8.892862951262323,9.399464845657349,N/A
