MU,CALIs
0.0,"[-0.46211715726000957, -0.46211715726000957, -0.46211715726000957, -0.46211715726000957, -0.46211715726000957, -0.46211715726000957, -0.46211715726000957, -0.46211715726000957, -0.46211715726000957]"
8.8e-06,"[-0.5504887395184597, -0.5441840682089807, -0.5490117114579787, -0.5718489774948078, -0.5412315862864645, -0.5490117114579787, -0.5998365981554281, -0.5441840682089807, -0.5504887395184597]"
1.75e-05,"[-0.6562987041403727, -0.644394696228819, -0.6535586485088607, -0.6941213152043455, -0.6386975031470637, -0.6535586485088605, -0.7375114826550285, -0.6443946962288187, -0.6562987041403724]"
2.62e-05,"[-0.7618687493516552, -0.7468176192012193, -0.758474678992695, -0.8062881849970407, -0.7394242248723644, -0.7584746789926953, -0.8502216690156279, -0.7468176192012195, -0.7618687493516547]"
3.5e-05,"[-0.8478573078052384, -0.8327255537597636, -0.8445203210739327, -0.8890158465796, -0.8250712399813079, -0.8445203210739324, -0.9236324036609236, -0.8327255537597635, -0.8478573078052383]"
4.38e-05,"[-0.9055273751789517, -0.8924335300308606, -0.9027042605278274, -0.9382280754859783, -0.8856021399871435, -0.9027042605278274, -0.9614326867380928, -0.8924335300308607, -0.9055273751789517]"
5.25e-05,"[-0.939042192299985, -0.9286972983785041, -0.9368596046620151, -0.9627624939300855, -0.923130477274472, -0.9368596046620151, -0.9769397536163451, -0.9286972983785041, -0.939042192299985]"
6.13e-05,"[-0.956175594786846, -0.9484924876226175, -0.9545878571800952, -0.9723512326859685, -0.9442283866286997, -0.9545878571800951, -0.9804769721391554, -0.9484924876226173, -0.956175594786846]"
7e-05,"[-0.9611949495692177, -0.9556932862826818, -0.9600793883594521, -0.9718667491535157, -0.9525482627335696, -0.960079388359452, -0.9763932844968134, -0.9556932862826818, -0.9611949495692176]"
7.88e-05,"[-0.9558095959105274, -0.9520096695260492, -0.9550523337709735, -0.9626189904861869, -0.9497747329946703, -0.9550523337709736, -0.9650653088713824, -0.952009669526049, -0.9558095959105274]"
8.75e-05,"[-0.938792381481433, -0.9362389818563536, -0.9382909773937338, -0.943043941242107, -0.9346975034180466, -0.9382909773937338, -0.9443498026813802, -0.9362389818563536, -0.938792381481433]"
9.63e-05,"[-0.9053665993842426, -0.903724787247276, -0.9050478208957831, -0.9079225134312119, -0.9027104593678592, -0.9050478208957833, -0.9085999969973884, -0.903724787247276, -0.9053665993842427]"
0.000105,"[-0.8486967773974764, -0.8476944903156399, -0.8485031210622498, -0.8501733528381101, -0.8470646926016332, -0.8485031210622503, -0.8505176028847158, -0.8476944903156396, -0.8486967773974758]"
0.0001138,"[-0.7565342028657032, -0.7559816750887555, -0.7564265369679976, -0.7573214873202991, -0.7556331935656213, -0.7564265369679993, -0.7574877927247738, -0.7559816750887555, -0.7565342028657032]"
0.0001225,"[-0.6189206361080191, -0.618666749045976, -0.6188688559871078, -0.6192914973863235, -0.6185125770035719, -0.6188688559871078, -0.6193673240430169, -0.618666749045976, -0.6189206361080191]"
0.0001313,"[-0.42481632137456604, -0.42475206919280306, -0.42479943524415753, -0.424944964214207, -0.4247259786409745, -0.42479943524415753, -0.42497571093205644, -0.42475206919280506, -0.42481632137456604]"
0.00014,"[-0.18401068016744238, -0.18404904536601074, -0.18401258954295263, -0.18401718195821481, -0.18409444530995978, -0.18401258954295263, -0.18402762203248502, -0.18404904536601652, -0.18401068016743372]"
0.0001488,"[0.08452048694860514, 0.08444017580504082, 0.08451059772641156, 0.08456313368803148, 0.08436529867183196, 0.08451059772641156, 0.08456090922046555, 0.08444017580504082, 0.08452048694860115]"
0.0001575,"[0.33873318306858224, 0.33864940306565483, 0.3387219967194839, 0.3387840756483913, 0.33857326569694024, 0.33872199671948855, 0.3387844160401139, 0.33864940306565483, 0.3387331830685727]"
0.0001663,"[0.5537382272264724, 0.553668969008096, 0.5537288246962129, 0.5537802894556403, 0.5536055376507047, 0.5537288246962018, 0.5537810699623604, 0.5536689690080849, 0.5537382272264668]"
0.000175,"[0.7122862075132226, 0.7122355809635963, 0.7122793554098479, 0.7123158488007058, 0.7121883193513037, 0.7122793554098357, 0.7123164563924023, 0.7122355809635963, 0.7122862075132226]"
0.0001838,"[0.8220026962878042, 0.8219685524653382, 0.8219981285058839, 0.822021681551905, 0.8219358856974859, 0.8219981285058904, 0.8220220503160669, 0.8219685524653317, 0.8220026962878171]"
0.0001925,"[0.8918799569632703, 0.8918579006621081, 0.8918770528222886, 0.891891533197241, 0.8918362214946536, 0.8918770528223019, 0.8918917345553095, 0.8918579006621217, 0.8918799569632703]"
0.0002013,"[0.9356846753673345, 0.935670920868962, 0.935682897836021, 0.935691462449239, 0.9356570062558511, 0.935682897836021, 0.9356915651329147, 0.9356709208689689, 0.9356846753673345]"
0.00021,"[0.9618679138722426, 0.9618594518966979, 0.9618668420413037, 0.9618718362373426, 0.9618506362410153, 0.9618668420412897, 0.9618718871543726, 0.9618594518966979, 0.9618679138722286]"
