MU,CALIs
0.0,"[-0.09966799462495568, -0.09966799462495568, -0.09966799462495568, -0.09966799462495568, -0.09966799462495568, -0.09966799462495568, -0.09966799462495568, -0.09966799462495568, -0.09966799462495568]"
5e-06,"[-0.09728156578476055, -0.09753999236357824, -0.09562512463773809, -0.09770810461606927, -0.09723056716139122, -0.09182975505233093, -0.09753999236357824, -0.09728156578476055, -0.09753999236357735]"
1e-05,"[-0.09198185485813193, -0.09277327143738345, -0.08779741577776201, -0.09323233601648839, -0.09195220875672161, -0.07953494659720461, -0.09277327143738423, -0.09198185485813115, -0.09277327143738423]"
1.5e-05,"[-0.08109553549855542, -0.08284266300602017, -0.07318939409693137, -0.08378994549283547, -0.08119469654365064, -0.059829642131100425, -0.08284266300602017, -0.08109553549855542, -0.08284266300602017]"
2e-05,"[-0.06000883977453364, -0.06330997057777465, -0.04691503783476236, -0.06503755407451217, -0.06038426876614045, -0.028084582795175894, -0.06330997057777465, -0.06000883977453442, -0.06330997057777377]"
2.5e-05,"[-0.02177952987778975, -0.027363816543218955, -0.0020459451148479024, -0.03024736702712716, -0.022606533136673712, 0.022018318690987915, -0.027363816543218178, -0.021779529877790527, -0.027363816543218178]"
3e-05,"[0.04168196047065398, 0.03314959925911265, 0.06886025606468427, 0.02873745125146887, 0.040245875241686324, 0.09691966065744317, 0.03314959925911265, 0.041681960470654866, 0.03314959925911265]"
3.5e-05,"[0.1355028439703021, 0.12377617133645624, 0.16947171849202358, 0.11764488405537965, 0.133396676206738, 0.19917784913213166, 0.12377617133645624, 0.135502843970303, 0.12377617133645735]"
4e-05,"[0.25625223137504793, 0.24181789337478166, 0.29454364469571015, 0.23414180826095699, 0.25357721142276257, 0.322974293960856, 0.24181789337478277, 0.25625223137504793, 0.24181789337478055]"
4.5e-05,"[0.39060058998500713, 0.3746316708397852, 0.42962097696369694, 0.3659648889070839, 0.3876045241131487, 0.454310962711836, 0.37463167083978655, 0.390600589985006, 0.37463167083978655]"
5e-05,"[0.5215019012724404, 0.5054147216463809, 0.5578884137126592, 0.49648867834434673, 0.5184797355476194, 0.577600696627407, 0.5054147216463836, 0.5215019012724404, 0.5054147216463836]"
5.5e-05,"[0.6362548495071159, 0.6212226527234539, 0.667860657565782, 0.6126894779045773, 0.6334451800107674, 0.6825956920823293, 0.6212226527234481, 0.6362548495071101, 0.6212226527234539]"
6e-05,"[0.7295693304794539, 0.7162970808855365, 0.7556051618121247, 0.7085881707896662, 0.727110143485393, 0.7661052872441512, 0.7162970808855424, 0.7295693304794602, 0.7162970808855424]"
6.5e-05,"[0.8018054422433649, 0.7905607133750183, 0.8224521830487976, 0.783879333216833, 0.7997441896976896, 0.829691126845681, 0.7905607133750214, 0.8018054422433649, 0.790560713375015]"
7e-05,"[0.8560347600454696, 0.8467860834573548, 0.8719741965075145, 0.8411664929943623, 0.8543593234992923, 0.8768550552460221, 0.8467860834573615, 0.856034760045463, 0.8467860834573548]"
7.5e-05,"[0.8959925410706324, 0.8885462025670494, 0.9080675618446463, 0.8839214477339621, 0.8946601738878344, 0.9113102872509882, 0.8885462025670461, 0.8959925410706391, 0.8885462025670527]"
8e-05,"[0.9251040870255705, 0.9192011947689951, 0.934129963285667, 0.9154554107907782, 0.9240611039942006, 0.9362635034325242, 0.9192011947689915, 0.9251040870255705, 0.9192011947689915]"
8.5e-05,"[0.9461695817493962, 0.9415435447562501, 0.9528518910515262, 0.9385454826297102, 0.9453624915386845, 0.9542467013557441, 0.9415435447562466, 0.9461695817493927, 0.9415435447562432]"
9e-05,"[0.961350783243873, 0.9577565009180244, 0.9662636968718927, 0.9553783716495774, 0.9607315836450772, 0.9671717412526992, 0.9577565009180244, 0.9613507832438661, 0.957756500918028]"
9.5e-05,"[0.9722651864348097, 0.9694909136198631, 0.9758587067039208, 0.9676175571369698, 0.9717932390772592, 0.976448234701482, 0.9694909136198631, 0.9722651864348169, 0.9694909136198631]"
0.0001,"[0.9801014452184871, 0.9779711202247299, 0.9827197869351443, 0.9765034137975739, 0.9797435622361423, 0.9831018368504358, 0.9779711202247299, 0.9801014452185013, 0.9779711202247228]"
0.000105,"[0.985723781204535, 0.9840946534953607, 0.9876259663063143, 0.9829497705884518, 0.9854534945137221, 0.9878732669651513, 0.9840946534953536, 0.9857237812045492, 0.9840946534953607]"
0.00011,"[0.9897565173088771, 0.9885148398507129, 0.991135258471463, 0.9876249576703988, 0.9895530605519798, 0.9912952133982853, 0.9885148398507058, 0.9897565173088985, 0.9885148398506987]"
0.000115,"[0.9926489533100447, 0.9917052112834577, 0.993646474020194, 0.9910155868402888, 0.9924962232054986, 0.9937498817817041, 0.9917052112834506, 0.9926489533100447, 0.9917052112834648]"
0.00012,"[0.9947237217244551, 0.9940081151869267, 0.995444367279767, 0.9934750282988216, 0.9946093384430388, 0.9955111966106531, 0.9940081151869196, 0.9947237217244762, 0.9940081151869338]"
