MU,CALIs
0.0,"[-0.04995837495788025, -0.04995837495788025, -0.04995837495788025, -0.04995837495788025, -0.04995837495788025, -0.04995837495788025, -0.04995837495788025, -0.04995837495788025, -0.04995837495788025]"
2.7e-06,"[-0.04437701108503822, -0.0448413385121581, -0.04441889429392665, -0.0419522854160026, -0.0450903370680954, -0.04441889429392665, -0.037947518497086, -0.0448413385121581, -0.0448413385121581]"
5.4e-06,"[-0.03728676242872975, -0.03833620493515599, -0.03740091808839041, -0.03207722860910056, -0.03888935415803274, -0.03740091808839041, -0.0237902809187166, -0.03833620493515599, -0.03833620493515599]"
8.1e-06,"[-0.028219419769193288, -0.030000135421678564, -0.028442118921643944, -0.01981345361266662, -0.030925290935388317, -0.02844211892164472, -0.006981644284567712, -0.030000135421678564, -0.030000135421679452]"
1.08e-05,"[-0.01656554690132017, -0.019251720584915866, -0.016939440411762763, -0.004504257521444344, -0.02063124808231298, -0.01693944041176365, 0.013097872581031345, -0.019251720584915866, -0.019251720584915866]"
1.35e-05,"[-0.0015494596655474258, -0.005343871046806781, -0.002123564429084457, 0.01465968320636235, -0.0072756509768118205, -0.002123564429084457, 0.03718823710792063, -0.005343871046806781, -0.005343871046806781]"
1.62e-05,"[0.01778202901639192, 0.012651458914308966, 0.01695328358107684, 0.03863732761009131, 0.010054766809252325, 0.01695328358107684, 0.06613596780490583, 0.012651458914308966, 0.012651458914308966]"
1.9e-05,"[0.043575266320226014, 0.03680234007424721, 0.04242182685959306, 0.06973010122536949, 0.03338544352268813, 0.04242182685959306, 0.1022512979703365, 0.0368023400742481, 0.0368023400742481]"
2.17e-05,"[0.07521185692518007, 0.0666126359204191, 0.0736885695973537, 0.1068244125302995, 0.062276398216897455, 0.07368856959735459, 0.1438298182078117, 0.0666126359204191, 0.0666126359204191]"
2.44e-05,"[0.11459933975646064, 0.10397188622358589, 0.11265924550313788, 0.15180325587269006, 0.09860246970426001, 0.11265924550313788, 0.19265986633521703, 0.103971886223585, 0.103971886223585]"
2.71e-05,"[0.16247912100089779, 0.14969816442676098, 0.16009291491198585, 0.20510336816750296, 0.14321403068082872, 0.16009291491198474, 0.2488750009271561, 0.14969816442676098, 0.1496981644267621]"
2.98e-05,"[0.2189221332193143, 0.20398260001408075, 0.2160875028195257, 0.2664104036604673, 0.19635739318314616, 0.2160875028195257, 0.3118803526498035, 0.20398260001408186, 0.20398260001408186]"
3.25e-05,"[0.2830534613993889, 0.26610461680289443, 0.2798020912920818, 0.33443615400964677, 0.2573870078780669, 0.2798020912920829, 0.3801939511046166, 0.26610461680289443, 0.26610461680289443]"
3.52e-05,"[0.3529600591501929, 0.33431573348122634, 0.3493592062990729, 0.40690744809434487, 0.3246386657342166, 0.3493592062990729, 0.45149574120123703, 0.33431573348122745, 0.33431573348122745]"
3.79e-05,"[0.42588775942517954, 0.4060032946818377, 0.4220345559466092, 0.48084788259673017, 0.39557693089959445, 0.42203455594661055, 0.5229383756984376, 0.4060032946818366, 0.4060032946818377]"
4.06e-05,"[0.4987076515520408, 0.47812623798082066, 0.4947169651111951, 0.5530975927243986, 0.4672145536150978, 0.4947169651111938, 0.5916468380354301, 0.478126237980822, 0.478126237980822]"
4.33e-05,"[0.5684875880200064, 0.5477710910608575, 0.5644768988136464, 0.6208834328909181, 0.5366585926283995, 0.5644768988136424, 0.6552244990895948, 0.5477710910608575, 0.5477710910608562]"
4.6e-05,"[0.6329534730120299, 0.6126177810391418, 0.6290291316784191, 0.682228064558863, 0.6015761571305072, 0.6290291316784191, 0.7120810591862394, 0.6126177810391418, 0.6126177810391418]"
4.87e-05,"[0.690704007269147, 0.6711740237686761, 0.686952019278098, 0.736088329620364, 0.6604369369430101, 0.686952019278098, 0.7615037969211311, 0.6711740237686732, 0.6711740237686732]"
5.15e-05,"[0.7429075731060759, 0.7245428982385562, 0.7393993559469925, 0.7838184092736686, 0.7143132737988955, 0.7393993559469862, 0.8049391483931669, 0.7245428982385591, 0.7245428982385591]"
5.42e-05,"[0.785940400842644, 0.7689035707627556, 0.7827058259150184, 0.8224167486766418, 0.7592921504862971, 0.7827058259150184, 0.839836613923469, 0.7689035707627556, 0.7689035707627587]"
5.69e-05,"[0.8223282951696977, 0.8067225252533552, 0.8193850521186716, 0.8544735258195892, 0.7978057780011272, 0.8193850521186781, 0.868684261718772, 0.8067225252533521, 0.8067225252533488]"
5.96e-05,"[0.8528064194470233, 0.8386590208393037, 0.8501567947881203, 0.8808699666744801, 0.8304725531311903, 0.8501567947881203, 0.8923640962533437, 0.838659020839307, 0.8386590208393006]"
6.23e-05,"[0.8781737460988963, 0.8654564812141925, 0.8758090590877547, 0.9024902748009387, 0.8580045011481652, 0.8758090590877547, 0.9117261845715656, 0.8654564812141925, 0.8654564812141925]"
6.5e-05,"[0.8992036850109844, 0.8878506605914274, 0.8971080908728282, 0.9201471254236653, 0.8811147628455402, 0.8971080908728215, 0.9275314298643469, 0.8878506605914274, 0.8878506605914307]"
