MU,CALIs
0.0,"[-0.09966799462495568, -0.09966799462495568, -0.09966799462495568, -0.09966799462495568, -0.09966799462495568, -0.09966799462495568, -0.09966799462495568, -0.09966799462495568, -0.09966799462495568]"
5e-06,"[-0.09728156578476055, -0.09753999236357824, -0.09723056716139122, -0.0956251246377372, -0.09770810461606927, -0.09182975505233171, -0.09753999236357824, -0.09728156578476055, -0.09753999236357824]"
1e-05,"[-0.09198185485813193, -0.09277327143738423, -0.09195220875672239, -0.08779741577776279, -0.09323233601648917, -0.07953494659720628, -0.09277327143738423, -0.0919818548581327, -0.09277327143738423]"
1.5e-05,"[-0.08109553549855464, -0.08284266300601939, -0.08119469654364986, -0.07318939409693048, -0.0837899454928347, -0.059829642131100425, -0.0828426630060185, -0.08109553549855464, -0.08284266300601939]"
2e-05,"[-0.060008839774531975, -0.06330997057777377, -0.06038426876614045, -0.046915037834761586, -0.06503755407451128, -0.028084582795175894, -0.06330997057777299, -0.06000883977453364, -0.06330997057777299]"
2.5e-05,"[-0.02177952987778975, -0.02736381654321729, -0.022606533136673712, -0.0020459451148470142, -0.03024736702712716, 0.022018318690987027, -0.027363816543218955, -0.02177952987778975, -0.027363816543218178]"
3e-05,"[0.041681960470654866, 0.03314959925911265, 0.04024587524168455, 0.06886025606468427, 0.028737451251467983, 0.09691966065744317, 0.03314959925911265, 0.041681960470654866, 0.03314959925911176]"
3.5e-05,"[0.1355028439703021, 0.12377617133645624, 0.133396676206736, 0.16947171849202247, 0.11764488405537876, 0.19917784913212944, 0.12377617133645535, 0.1355028439703021, 0.12377617133645535]"
4e-05,"[0.2562522313750466, 0.24181789337478055, 0.25357721142276146, 0.29454364469571237, 0.2341418082609581, 0.322974293960856, 0.24181789337478277, 0.25625223137504793, 0.24181789337478277]"
4.5e-05,"[0.39060058998500713, 0.3746316708397852, 0.38760452411314983, 0.42962097696369694, 0.36596488890708634, 0.4543109627118387, 0.37463167083978655, 0.39060058998500846, 0.3746316708397852]"
5e-05,"[0.5215019012724349, 0.5054147216463782, 0.5184797355476165, 0.5578884137126565, 0.49648867834434407, 0.5776006966274041, 0.5054147216463809, 0.5215019012724378, 0.5054147216463809]"
5.5e-05,"[0.636254849507113, 0.6212226527234539, 0.6334451800107703, 0.6678606575657731, 0.6126894779045686, 0.6825956920823293, 0.621222652723451, 0.6362548495071072, 0.6212226527234481]"
6e-05,"[0.729569330479463, 0.7162970808855365, 0.727110143485393, 0.7556051618121247, 0.7085881707896691, 0.7661052872441447, 0.7162970808855396, 0.729569330479457, 0.7162970808855396]"
6.5e-05,"[0.801805442243368, 0.7905607133750183, 0.799744189697696, 0.8224521830488074, 0.783879333216833, 0.8296911268456844, 0.7905607133750214, 0.801805442243368, 0.7905607133750214]"
7e-05,"[0.8560347600454596, 0.8467860834573582, 0.8543593234992988, 0.8719741965075045, 0.841166492994359, 0.8768550552460188, 0.8467860834573615, 0.856034760045463, 0.8467860834573615]"
7.5e-05,"[0.8959925410706424, 0.8885462025670561, 0.894660173887841, 0.908067561844643, 0.8839214477339654, 0.9113102872509984, 0.8885462025670594, 0.8959925410706358, 0.8885462025670561]"
8e-05,"[0.9251040870255738, 0.9192011947689915, 0.9240611039942006, 0.9341299632856772, 0.9154554107907715, 0.9362635034325277, 0.9192011947689951, 0.9251040870255738, 0.9192011947689915]"
8.5e-05,"[0.9461695817493927, 0.9415435447562501, 0.9453624915386776, 0.9528518910515298, 0.9385454826297066, 0.9542467013557441, 0.9415435447562501, 0.9461695817493891, 0.9415435447562432]"
9e-05,"[0.961350783243873, 0.9577565009180316, 0.9607315836450736, 0.9662636968718927, 0.9553783716495843, 0.9671717412526957, 0.957756500918028, 0.961350783243873, 0.957756500918028]"
9.5e-05,"[0.9722651864348029, 0.9694909136198597, 0.9717932390772521, 0.9758587067039137, 0.9676175571369627, 0.9764482347014749, 0.9694909136198562, 0.9722651864347993, 0.9694909136198666]"
0.0001,"[0.9801014452184942, 0.9779711202247439, 0.9797435622361423, 0.9827197869351514, 0.976503413797581, 0.9831018368504498, 0.9779711202247439, 0.9801014452184942, 0.9779711202247439]"
0.000105,"[0.9857237812045632, 0.984094653495375, 0.9854534945137363, 0.9876259663063283, 0.9829497705884729, 0.9878732669651584, 0.9840946534953678, 0.9857237812045632, 0.984094653495375]"
0.00011,"[0.9897565173088843, 0.9885148398506987, 0.9895530605519798, 0.991135258471463, 0.9876249576703917, 0.9912952133982993, 0.9885148398506987, 0.9897565173088843, 0.9885148398506987]"
0.000115,"[0.9926489533100447, 0.9917052112834437, 0.9924962232054986, 0.9936464740202011, 0.9910155868402888, 0.993749881781697, 0.9917052112834648, 0.9926489533100376, 0.9917052112834437]"
0.00012,"[0.9947237217244762, 0.9940081151869267, 0.994609338443053, 0.9954443672797741, 0.9934750282988287, 0.9955111966106602, 0.9940081151869267, 0.9947237217244833, 0.9940081151869267]"
