MU,CALIs
0.0,"[-0.04995837495788025, -0.04995837495788025, -0.04995837495788025, -0.04995837495788025, -0.04995837495788025, -0.04995837495788025, -0.04995837495788025, -0.04995837495788025, -0.04995837495788025]"
2.7e-06,"[-0.04523888431185252, -0.045645347273492454, -0.04527885721222202, -0.04335489772596457, -0.045851785324169225, -0.0452788572122228, -0.03993551535163842, -0.0452388843118533, -0.045645347273492454]"
5.4e-06,"[-0.03920997742963217, -0.040128471767464036, -0.039316154630390954, -0.03511177868074744, -0.04058997592275515, -0.039316154630390954, -0.028009798843023792, -0.03920997742963217, -0.040128471767464036]"
8.1e-06,"[-0.03144649092444174, -0.03300605487366226, -0.03165048263247361, -0.02475150438003726, -0.03378309792264911, -0.03165048263247361, -0.013712468892619678, -0.03144649092444174, -0.03300605487366226]"
1.08e-05,"[-0.021388131081049644, -0.023744170569130585, -0.021727470969801765, -0.011663217672913895, -0.024910985983589207, -0.021727470969801765, 0.003538997767742247, -0.021388131081049644, -0.023744170569131473]"
1.35e-05,"[-0.008312280984851816, -0.011647734581708091, -0.0088305386921248, 0.004916308992596097, -0.01329360019334136, -0.0088305386921248, 0.024451078616246624, -0.008312280984850928, -0.011647734581708091]"
1.62e-05,"[0.008682121200202841, 0.00415911679780856, 0.007936049350156793, 0.025905980852379162, 0.0019300840008735776, 0.007936049350156793, 0.04984734338546026, 0.008682121200202841, 0.00415911679780856]"
1.9e-05,"[0.03158746881144947, 0.025595089281016392, 0.03055002197586587, 0.05344881078485186, 0.02263864304677421, 0.030550021975864095, 0.0818841394964771, 0.03158746881144947, 0.025595089281016392]"
2.17e-05,"[0.0599731017531977, 0.05233471528801159, 0.05860228495786912, 0.08669357598774141, 0.04855384120780415, 0.05860228495786912, 0.1191849849833253, 0.05997310175319659, 0.05233471528801159]"
2.44e-05,"[0.09567771280126225, 0.08619651579867904, 0.09392910541234256, 0.1274647827592661, 0.08147877163420181, 0.09392910541234256, 0.16348986696011392, 0.09567771280126225, 0.08619651579867993]"
2.71e-05,"[0.13953326812204825, 0.12807735005446053, 0.1373775176249037, 0.17632961779674172, 0.1223368552616304, 0.1373775176249028, 0.215092346869435, 0.13953326812204825, 0.12807735005446053]"
2.98e-05,"[0.1917821787406293, 0.17832493866565002, 0.18921359097204427, 0.23318537085612734, 0.17152370858341337, 0.18921359097204427, 0.27363220201776217, 0.1917821787406293, 0.17832493866565002]"
3.25e-05,"[0.2518022713531638, 0.2364554298869057, 0.24884549483194274, 0.29702874334382634, 0.22862261135829032, 0.24884549483194274, 0.3379216546662709, 0.2518022713531638, 0.23645542988690682]"
3.52e-05,"[0.3179885480872999, 0.30101450350971515, 0.31470055137389363, 0.36590943114238383, 0.29225659085240485, 0.31470055137389474, 0.405953200786787, 0.31798854808730104, 0.30101450350971626]"
3.79e-05,"[0.3878969254122919, 0.3696914361691299, 0.38436251492352524, 0.437151848404173, 0.360187975260597, 0.38436251492352524, 0.47514912239066875, 0.38789692541229437, 0.3696914361691288]"
4.06e-05,"[0.4586447776542124, 0.4396914476228675, 0.4549662319293841, 0.5078087068522659, 0.4296756334510208, 0.45496623192938546, 0.5428000862544509, 0.45864477765421374, 0.4396914476228688]"
4.33e-05,"[0.5274298988597694, 0.5082391498695682, 0.5237136464195491, 0.5751857041345172, 0.49796863465221275, 0.5237136464195518, 0.6065358572003581, 0.5274298988597708, 0.5082391498695682]"
4.6e-05,"[0.5919737863409196, 0.5730239342036176, 0.5883179536714258, 0.6372442234542364, 0.5627504462557691, 0.5883179536714258, 0.664657756074768, 0.5919737863409225, 0.5730239342036176]"
4.87e-05,"[0.6507559964096805, 0.6324503560110277, 0.6472416993662478, 0.6927706104639235, 0.6223956934541663, 0.6472416993662478, 0.7162482675250099, 0.6507559964096774, 0.6324503560110335]"
5.15e-05,"[0.7048321325397724, 0.6875173268823922, 0.7015278160136318, 0.7429885186654799, 0.6778768622818658, 0.7015278160136318, 0.7626186808970035, 0.7048321325397724, 0.6875173268823982]"
5.42e-05,"[0.7502212564213708, 0.7340712117998183, 0.7471587600191352, 0.7844710129034334, 0.7249610663507573, 0.7471587600191321, 0.8007551659035934, 0.7502212564213708, 0.7340712117998183]"
5.69e-05,"[0.7892976207597466, 0.7744283881103775, 0.7864970416796899, 0.819669462263902, 0.7659312513618362, 0.7864970416796933, 0.8330278121366861, 0.7892976207597497, 0.7744283881103713]"
5.96e-05,"[0.8226220594394924, 0.8090779402685893, 0.8200889894143928, 0.8492901982198273, 0.8012380007015565, 0.8200889894143928, 0.8601523024530286, 0.8226220594394988, 0.8090779402685926]"
6.23e-05,"[0.8508579361424848, 0.8386291513689228, 0.8485873302849101, 0.8740872444963403, 0.8314601549797156, 0.8485873302849134, 0.8828590382982655, 0.8508579361424717, 0.8386291513689195]"
6.5e-05,"[0.8746807121599063, 0.8637194765159557, 0.8726603085695963, 0.8947838026151147, 0.8572125335575687, 0.8726603085695963, 0.9018299018700573, 0.8746807121599063, 0.8637194765159557]"
