MU,CALIs
0.0,"[-0.09966799462495568, -0.09966799462495568, -0.09966799462495568, -0.09966799462495568, -0.09966799462495568, -0.09966799462495568, -0.09966799462495568, -0.09966799462495568, -0.09966799462495568]"
5e-06,"[-0.09883842731766179, -0.09897914938326313, -0.09878224570336458, -0.09761960834849948, -0.09907308711146834, -0.09878224570336458, -0.09476251246369616, -0.09897914938326313, -0.09883842731766335]"
1e-05,"[-0.09579973844242518, -0.09630872406905566, -0.09574736084484314, -0.09262955820956464, -0.09659807795541098, -0.09574736084484237, -0.08629787024094837, -0.09630872406905566, -0.09579973844242518]"
1.5e-05,"[-0.08820728488869245, -0.0894496422528489, -0.08825087277287835, -0.08204444256529186, -0.09010503933254099, -0.08825087277287835, -0.07161968005210695, -0.0894496422528489, -0.08820728488869334]"
2e-05,"[-0.07185506239688833, -0.07436668448225159, -0.07212498029210279, -0.06137187179361103, -0.07565083520058447, -0.0721249802921019, -0.046412448627211944, -0.07436668448225237, -0.07185506239688755]"
2.5e-05,"[-0.040185351836322436, -0.04464398726075858, -0.0408413651966546, -0.02399921345881406, -0.04690787360713489, -0.04084136519665371, -0.004547373256061693, -0.04464398726075858, -0.040185351836322436]"
3e-05,"[0.014796517661341824, 0.007737198490461283, 0.013604376430169207, 0.03757095364577223, 0.004126711699041552, 0.013604376430169207, 0.060632285862177504, 0.0077371984904621716, 0.014796517661340935]"
3.5e-05,"[0.09884867358498695, 0.0888779022387911, 0.09705046868279932, 0.12785966126930104, 0.08369892968381976, 0.09705046868279843, 0.1526736211238866, 0.08887790223879, 0.09884867358498695]"
4e-05,"[0.21019796455643247, 0.19764837626851328, 0.2078657063884306, 0.24348097402704383, 0.19099820184025496, 0.2078657063884306, 0.26762440009171984, 0.1976483762685144, 0.21019796455643136]"
4.5e-05,"[0.33774421583614767, 0.3235865981142272, 0.3350844899939591, 0.3722434194985207, 0.31591493826051464, 0.33508448999396023, 0.3935748425664398, 0.32358659811422585, 0.33774421583614767]"
5e-05,"[0.46601779987118697, 0.45149806663172565, 0.4632896343155424, 0.4987299352924994, 0.44344467357750195, 0.4632896343155397, 0.5160669017206359, 0.45149806663173075, 0.4660177998711843]"
5.5e-05,"[0.5823962370635134, 0.568604262077228, 0.5798198643172321, 0.6112686837758488, 0.5607725217157187, 0.5798198643172294, 0.6244592589989473, 0.5686042620772254, 0.5823962370635134]"
6e-05,"[0.6804702149370419, 0.6681122711786553, 0.6781827282892468, 0.7046080724270138, 0.6609293914558136, 0.6781827282892527, 0.7141660502295015, 0.6681122711786525, 0.6804702149370419]"
6.5e-05,"[0.7591295431653511, 0.7485238870954853, 0.7571877642212723, 0.778524085180327, 0.7422167670678956, 0.7571877642212785, 0.7852141278618652, 0.7485238870954822, 0.7591295431653542]"
7e-05,"[0.8202262779380982, 0.8114070992341251, 0.8186306371920016, 0.8353696490157119, 0.8060435840688414, 0.8186306371919985, 0.8399408388025962, 0.8114070992341154, 0.8202262779380949]"
7.5e-05,"[0.866712264467933, 0.8595463828274319, 0.8654316270031253, 0.878294542305105, 0.8550918540242525, 0.8654316270031319, 0.8813663979631343, 0.8595463828274252, 0.8667122644679297]"
8e-05,"[0.9016115741904454, 0.8958879678035152, 0.9006014021136148, 0.9103382887422982, 0.8922529406671156, 0.9006014021136184, 0.9123789691780326, 0.8958879678035085, 0.901611574190442]"
8.5e-05,"[0.9275836402102426, 0.9230704119388939, 0.9267970272310766, 0.9340868572820873, 0.9201432610824456, 0.926797027231073, 0.9354317251128315, 0.9230704119388973, 0.9275836402102426]"
9e-05,"[0.9468006563589428, 0.943276507655272, 0.946194081881742, 0.951607465659579, 0.9409432240375668, 0.9461940818817385, 0.9524888402512472, 0.9432765076552687, 0.9468006563589393]"
9.5e-05,"[0.9609654077606351, 0.9582343359795298, 0.9605011720844332, 0.9644965535649583, 0.9563890715207821, 0.9605011720844332, 0.96507190900549, 0.9582343359795333, 0.9609654077606351]"
0.0001,"[0.9713801208225252, 0.9692762145168865, 0.9710269141071597, 0.9739620120615342, 0.9678259732960877, 0.9710269141071668, 0.9743365558243493, 0.9692762145168794, 0.9713801208225323]"
0.000105,"[0.979025292762459, 0.9774122273817429, 0.9787578252923272, 0.9809062747481105, 0.9762781372065237, 0.9787578252923415, 0.9811496091949636, 0.97741222738175, 0.9790252927624659]"
0.00011,"[0.9846317701498177, 0.9833998123547683, 0.9844300050375749, 0.9859982223836183, 0.9825165665424718, 0.984430005037582, 0.9861560849945765, 0.9833998123547611, 0.9846317701498106]"
0.000115,"[0.9887407278843647, 0.987802844362895, 0.9885890088667337, 0.9897311470690924, 0.9871172836766338, 0.9885890088667408, 0.989833452338857, 0.9878028443629021, 0.9887407278843647]"
0.00012,"[0.9917511632261871, 0.9910390761668191, 0.9916373822675895, 0.9924677148701055, 0.9905084689556243, 0.9916373822675824, 0.9925339637624497, 0.9910390761668051, 0.99175116322618]"
