MU,CALIs
0.0,"[-0.04995837495788025, -0.04995837495788025, -0.04995837495788025, -0.04995837495788025, -0.04995837495788025, -0.04995837495788025, -0.04995837495788025, -0.04995837495788025, -0.04995837495788025]"
2.7e-06,"[-0.040460633858086736, -0.04146647954638305, -0.04083269019097491, -0.0418275070242482, -0.04083269019097491, -0.03122599650262947, -0.04146647954638305, -0.040460633858086736, -0.04146647954638305]"
5.4e-06,"[-0.028835627573082667, -0.03099990214409931, -0.029607337708182135, -0.031799137300076774, -0.029607337708182135, -0.009538358485636556, -0.03099990214409931, -0.028835627573082667, -0.03099990214409931]"
8.1e-06,"[-0.014512089006872841, -0.018012617399844166, -0.015714074069530848, -0.01934210976743722, -0.015714074069530848, 0.015692149920782716, -0.018012617399844166, -0.01451208900687373, -0.018012617399844166]"
1.08e-05,"[0.0032259729218999667, -0.0018141825241930754, 0.001560762087542189, -0.003782091839818924, 0.0015607620875413009, 0.04515438181619258, -0.0018141825241939635, 0.0032259729218999667, -0.0018141825241930754]"
1.35e-05,"[0.025253070510263154, 0.01844738376155286, 0.023090884812438706, 0.015716896887920884, 0.023090884812439816, 0.07962700896877362, 0.01844738376155286, 0.025253070510263154, 0.01844738376155286]"
1.62e-05,"[0.052594128819164254, 0.04378306897032003, 0.049903195901795705, 0.04015247260610555, 0.04990319590179659, 0.1199381443391736, 0.04378306897031914, 0.052594128819164254, 0.04378306897031914]"
1.9e-05,"[0.08776297135655753, 0.07662237732074195, 0.08449706582697925, 0.07190605094875413, 0.08449706582697925, 0.16875273085228826, 0.07662237732074195, 0.08776297135655842, 0.07662237732074195]"
2.17e-05,"[0.12938179076759138, 0.11578631674018491, 0.1255490538389188, 0.10988248676676449, 0.1255490538389188, 0.2231966777048251, 0.1157863167401858, 0.12938179076759138, 0.1157863167401858]"
2.44e-05,"[0.17943416843939408, 0.16325137524120326, 0.17504365773940633, 0.15604802781697025, 0.17504365773940522, 0.2850531134886254, 0.16325137524120215, 0.1794341684393932, 0.16325137524120215]"
2.71e-05,"[0.23822482096931807, 0.21944176815790284, 0.23331501016250966, 0.21087803874252997, 0.23331501016250966, 0.35379922342486836, 0.21944176815790284, 0.23822482096931918, 0.21944176815790284]"
2.98e-05,"[0.30517569643584586, 0.2839443375195492, 0.2998207644222648, 0.27403725495633346, 0.2998207644222637, 0.4279928029277049, 0.2839443375195503, 0.30517569643584475, 0.2839443375195492]"
3.25e-05,"[0.37859575019893965, 0.355259915122607, 0.37290661289781224, 0.3441245661474257, 0.37290661289781224, 0.5052107136173924, 0.355259915122607, 0.37859575019893965, 0.3552599151226057]"
3.52e-05,"[0.45571415440873886, 0.43080170837412646, 0.44983174695517425, 0.4186554525430064, 0.44983174695517425, 0.5822735846867684, 0.4308017083741291, 0.45571415440873886, 0.43080170837412646]"
3.79e-05,"[0.5330638426443548, 0.5072370970096853, 0.5271447046376558, 0.4943820860943029, 0.5271447046376558, 0.6557662610381358, 0.5072370970096853, 0.5330638426443535, 0.5072370970096853]"
4.06e-05,"[0.6071286279081296, 0.5811028527112441, 0.6013262288673455, 0.5678893344357481, 0.6013262288673455, 0.7226956230548471, 0.5811028527112441, 0.607128627908128, 0.5811028527112441]"
4.33e-05,"[0.6750076679075403, 0.649461643889379, 0.6694549519303135, 0.6362427489180016, 0.6694549519303135, 0.7810262230921936, 0.6494616438893805, 0.6750076679075416, 0.6494616438893805]"
4.6e-05,"[0.7348410756966284, 0.7103453882318815, 0.7296389226077755, 0.6974368277979717, 0.7296389226077786, 0.8298964092753842, 0.7103453882318846, 0.7348410756966284, 0.7103453882318815]"
4.87e-05,"[0.7858882863912264, 0.7628662947461362, 0.7811016634670387, 0.7505203438604051, 0.7811016634670387, 0.8694960954141815, 0.7628662947461362, 0.7858882863912264, 0.7628662947461331]"
5.15e-05,"[0.8297440347362479, 0.8085336941577268, 0.825421430076904, 0.7969596630454372, 0.825421430076904, 0.9017518038836936, 0.8085336941577237, 0.829744034736251, 0.8085336941577237]"
5.42e-05,"[0.8640841739107281, 0.8447542664650565, 0.8602133726797065, 0.8340349604653681, 0.8602133726797065, 0.9256748512914386, 0.8447542664650531, 0.8640841739107281, 0.8447542664650531]"
5.69e-05,"[0.8917026375987573, 0.8742762977340186, 0.8882685705936797, 0.8644614184903261, 0.8882685705936764, 0.9439062706419126, 0.8742762977340153, 0.8917026375987607, 0.8742762977340119]"
5.96e-05,"[0.9137261881098435, 0.8981506172100431, 0.9107016511043298, 0.88924572690145, 0.9107016511043262, 0.9576763057145432, 0.8981506172100431, 0.9137261881098435, 0.8981506172100431]"
6.23e-05,"[0.9312036186377588, 0.9173767743450956, 0.9285547662715277, 0.9093563265273401, 0.9285547662715243, 0.9680252501635176, 0.9173767743450956, 0.9312036186377624, 0.9173767743450956]"
6.5e-05,"[0.9450446532789998, 0.9328362327201425, 0.9427349635196058, 0.9256544677143974, 0.9427349635196094, 0.9757882245827092, 0.9328362327201392, 0.9450446532789998, 0.9328362327201425]"
