MU,CALIs
0.0,"[-0.46211715726000957, -0.46211715726000957, -0.46211715726000957, -0.46211715726000957, -0.46211715726000957, -0.46211715726000957, -0.46211715726000957, -0.46211715726000957, -0.46211715726000957]"
8.8e-06,"[-0.5504887395184597, -0.5441840682089811, -0.5490117114579783, -0.5718489774948078, -0.5412315862864648, -0.5490117114579783, -0.5998365981554278, -0.5504887395184597, -0.5441840682089807]"
1.75e-05,"[-0.6562987041403721, -0.644394696228819, -0.6535586485088605, -0.6941213152043453, -0.6386975031470634, -0.6535586485088605, -0.7375114826550285, -0.6562987041403724, -0.6443946962288187]"
2.62e-05,"[-0.7618687493516554, -0.7468176192012195, -0.758474678992695, -0.8062881849970408, -0.7394242248723644, -0.758474678992695, -0.8502216690156279, -0.7618687493516549, -0.7468176192012193]"
3.5e-05,"[-0.8478573078052384, -0.8327255537597635, -0.8445203210739325, -0.8890158465795999, -0.8250712399813078, -0.8445203210739325, -0.9236324036609236, -0.8478573078052385, -0.8327255537597639]"
4.38e-05,"[-0.9055273751789517, -0.8924335300308607, -0.9027042605278275, -0.9382280754859783, -0.8856021399871433, -0.9027042605278275, -0.9614326867380928, -0.9055273751789517, -0.8924335300308607]"
5.25e-05,"[-0.939042192299985, -0.9286972983785041, -0.936859604662015, -0.9627624939300855, -0.923130477274472, -0.9368596046620151, -0.9769397536163451, -0.939042192299985, -0.928697298378504]"
6.13e-05,"[-0.9561755947868459, -0.9484924876226172, -0.9545878571800951, -0.9723512326859683, -0.9442283866286995, -0.9545878571800951, -0.9804769721391554, -0.9561755947868459, -0.9484924876226171]"
7e-05,"[-0.9611949495692175, -0.9556932862826815, -0.9600793883594518, -0.9718667491535157, -0.9525482627335694, -0.9600793883594518, -0.9763932844968134, -0.9611949495692176, -0.9556932862826816]"
7.88e-05,"[-0.9558095959105275, -0.9520096695260492, -0.9550523337709736, -0.962618990486187, -0.9497747329946703, -0.9550523337709736, -0.9650653088713825, -0.9558095959105275, -0.952009669526049]"
8.75e-05,"[-0.9387923814814332, -0.9362389818563537, -0.9382909773937338, -0.9430439412421073, -0.9346975034180467, -0.9382909773937339, -0.9443498026813804, -0.9387923814814332, -0.9362389818563537]"
9.63e-05,"[-0.9053665993842424, -0.9037247872472763, -0.9050478208957831, -0.9079225134312121, -0.9027104593678592, -0.9050478208957831, -0.9085999969973881, -0.9053665993842424, -0.9037247872472766]"
0.000105,"[-0.8486967773974764, -0.8476944903156405, -0.8485031210622507, -0.8501733528381109, -0.8470646926016338, -0.8485031210622509, -0.8505176028847168, -0.8486967773974764, -0.8476944903156405]"
0.0001138,"[-0.7565342028657032, -0.7559816750887564, -0.7564265369679984, -0.7573214873202996, -0.7556331935656222, -0.7564265369679984, -0.7574877927247734, -0.756534202865704, -0.7559816750887564]"
0.0001225,"[-0.6189206361080164, -0.6186667490459773, -0.6188688559871065, -0.6192914973863208, -0.6185125770035691, -0.6188688559871065, -0.6193673240430142, -0.6189206361080177, -0.618666749045976]"
0.0001313,"[-0.42481632137456804, -0.42475206919280306, -0.42479943524416364, -0.424944964214207, -0.4247259786409786, -0.42479943524416364, -0.42497571093206465, -0.42481632137456804, -0.42475206919280717]"
0.00014,"[-0.18401068016743372, -0.18404904536601363, -0.18401258954294686, -0.18401718195821182, -0.18409444530995978, -0.18401258954294686, -0.18402762203248502, -0.18401068016743372, -0.18404904536601363]"
0.0001488,"[0.08452048694860514, 0.08444017580503704, 0.08451059772641534, 0.08456313368803525, 0.08436529867183196, 0.08451059772641534, 0.08456090922046555, 0.08452048694860514, 0.08444017580504082]"
0.0001575,"[0.33873318306858224, 0.3386494030656595, 0.33872199671948855, 0.33878407564838664, 0.3385732656969498, 0.3387219967194839, 0.33878441604010434, 0.3387331830685776, 0.3386494030656595]"
0.0001663,"[0.5537382272264724, 0.553668969008096, 0.5537288246962184, 0.5537802894556514, 0.5536055376507047, 0.5537288246962073, 0.5537810699623549, 0.5537382272264779, 0.5536689690081016]"
0.000175,"[0.7122862075132226, 0.7122355809635963, 0.7122793554098541, 0.7123158488007058, 0.7121883193513037, 0.7122793554098479, 0.7123164563924023, 0.7122862075132226, 0.7122355809635963]"
0.0001838,"[0.8220026962878042, 0.8219685524653124, 0.8219981285058644, 0.8220216815518986, 0.8219358856974728, 0.8219981285058644, 0.8220220503160733, 0.8220026962878042, 0.8219685524653253]"
0.0001925,"[0.8918799569632703, 0.8918579006621283, 0.8918770528222952, 0.8918915331972477, 0.8918362214946602, 0.8918770528223019, 0.8918917345553228, 0.8918799569632838, 0.8918579006621217]"
0.0002013,"[0.9356846753673069, 0.9356709208689551, 0.9356828978359797, 0.9356914624492321, 0.9356570062558236, 0.9356828978360141, 0.9356915651328805, 0.9356846753673069, 0.9356709208689413]"
0.00021,"[0.9618679138722426, 0.9618594518966979, 0.9618668420413177, 0.9618718362373566, 0.9618506362410153, 0.9618668420412897, 0.9618718871543726, 0.9618679138722426, 0.9618594518966839]"
