Tract,CALI
V1,-0.9999999213308598
V2,-0.9999999877535586
V3,-0.9999930604923184
V4,-0.9999980210264057
V5,-0.9999999754533483
V6,-0.999999964640192
V7,-0.999999813777732
V8,-0.9999551031847717
V9,-0.9999998150381375
V10,-0.9999926209572114
V11,-0.9999999995582228
V12,-0.9999984978064382
V13,-0.9999999999908197
V14,-0.9999999990930829
V15,-0.9999960308666399
V16,-0.9999802308910349
V17,-0.9999998701677054
V18,-0.9999997715077833
V19,-0.999036427039994
whole GM,85.0969166381267
