Tract,CALI
V1,-0.9998101201951995
V2,-0.9998101201951997
V3,-0.9998101201930761
V4,-0.9998101201950974
V5,-0.9998101201951997
V6,-0.9998101201951997
V7,-0.9998101201951993
V8,-0.9998101200009255
V9,-0.9998101201951993
V10,-0.9998101201927345
V11,-0.9998101201951997
V12,-0.9998101201951471
V13,-0.9998101201951997
V14,-0.9998101201951997
V15,-0.9998101201946519
V16,-0.999810120168451
V17,-0.9998101201951994
V18,-0.9998101201951991
V19,-0.9998097963460731
whole GM,178.8667633766524
