Tract,CALI
V1,-0.9910137046278703
V2,-0.9910137046278704
V3,-0.9910137046278024
V4,-0.9910137046278681
V5,-0.9910137046278704
V6,-0.9910137046278699
V7,-0.9910137046278702
V8,-0.9910137046171229
V9,-0.9910137046278704
V10,-0.9910137046277936
V11,-0.9910137046278708
V12,-0.9910137046278691
V13,-0.9910137046278701
V14,-0.9910137046278699
V15,-0.9910137046278591
V16,-0.9910137046266927
V17,-0.9910137046278705
V18,-0.9910137046278704
V19,-0.9910136540384793
whole GM,200.35229917852206
