Tract,CALI
V1,-0.9965991385483426
V2,-0.9965991385483426
V3,-0.9965991385481806
V4,-0.996599138548337
V5,-0.9965991385483425
V6,-0.9965991385483425
V7,-0.9965991385483426
V8,-0.9965991385254699
V9,-0.9965991385483425
V10,-0.9965991385481543
V11,-0.9965991385483424
V12,-0.9965991385483398
V13,-0.9965991385483425
V14,-0.9965991385483424
V15,-0.996599138548309
V16,-0.9965991385457263
V17,-0.9965991385483425
V18,-0.9965991385483426
V19,-0.9965990570049833
whole GM,194.92856572356598
