Tract,CALI
V1,-0.8950627371925662
V2,-0.8950627371925692
V3,-0.895062737192556
V4,-0.8950627371925622
V5,-0.8950627371925605
V6,-0.8950627371925683
V7,-0.8950627371925609
V8,-0.8950627371919877
V9,-0.8950627371925636
V10,-0.8950627371925557
V11,-0.8950627371925611
V12,-0.8950627371925586
V13,-0.8950627371925582
V14,-0.8950627371925652
V15,-0.8950627371925759
V16,-0.8950627371924459
V17,-0.8950627371925682
V18,-0.895062737192572
V19,-0.8950627253096618
whole GM,214.3482698062977
