Tract,CALI
V1,-0.9966248656000745
V2,-0.9979957775563589
V3,-0.9875750375385376
V4,-0.991370324649513
V5,-0.9975749483441904
V6,-0.99728538967628
V7,-0.9956443820975882
V8,-0.9787952094756018
V9,-0.9956111669240892
V10,-0.9874310537532606
V11,-0.9992485511077642
V12,-0.9920460366644855
V13,-0.9999906488008952
V14,-0.9990681865008924
V15,-0.989495678789224
V16,-0.983294803072917
V17,-0.9959795178779058
V18,-0.9952853650637734
V19,-0.9489515077454497
whole GM,38.46753348969206
