Tract,CALI
V1,-0.4391896112954481
V2,-0.43918961129540723
V3,-0.4391896112954543
V4,-0.4391896112954343
V5,-0.4391896112954259
V6,-0.439189611295428
V7,-0.43918961129542455
V8,-0.4391896112964615
V9,-0.43918961129540335
V10,-0.43918961129541
V11,-0.43918961129541123
V12,-0.4391896112954168
V13,-0.4391896112954504
V14,-0.43918961129539347
V15,-0.439189611295443
V16,-0.43918961129541845
V17,-0.43918961129540957
V18,-0.43918961129539735
V19,-0.4391896124041875
whole GM,225.47779567393238
