Tract,CALI
V1,-0.10484866705882057
V2,-0.10484866705880214
V3,-0.10484866705879026
V4,-0.10484866705876894
V5,-0.10484866705881113
V6,-0.10484866705874096
V7,-0.10484866705875484
V8,-0.10484866705984275
V9,-0.10484866705879003
V10,-0.10484866705871676
V11,-0.10484866705879614
V12,-0.10484866705876317
V13,-0.10484866705876361
V14,-0.10484866705876672
V15,-0.10484866705883789
V16,-0.10484866705879436
V17,-0.10484866705877594
V18,-0.10484866705878626
V19,-0.10484867059945824
whole GM,229.8141343833425
