Tract,CALI
V1,-0.8621470347842406
V2,-0.8694981821816263
V3,-0.8370421462279459
V4,-0.8443941960555659
V5,-0.8668886880646335
V6,-0.8639459649554834
V7,-0.8574811704790121
V8,-0.8255290085172993
V9,-0.85620249822261
V10,-0.8367546090110262
V11,-0.8863991639363155
V12,-0.8462170276826603
V13,-0.9337258186618846
V14,-0.8819482150034322
V15,-0.8407919915132261
V16,-0.8303248021684434
V17,-0.8574370324468571
V18,-0.8560075199811067
V19,-0.804279446596729
whole GM,23.4319500170837
