Tract,CALI
V1,-0.9965991385483423
V2,-0.9965991385483425
V3,-0.9965991385481806
V4,-0.9965991385483365
V5,-0.9965991385483424
V6,-0.9965991385483425
V7,-0.9965991385483424
V8,-0.9965991385254698
V9,-0.9965991385483425
V10,-0.9965991385481543
V11,-0.9965991385483424
V12,-0.9965991385483399
V13,-0.9965991385483424
V14,-0.9965991385483424
V15,-0.996599138548309
V16,-0.9965991385457265
V17,-0.9965991385483424
V18,-0.9965991385483424
V19,-0.996599057004983
whole GM,194.92856572356595
