Tract,Lat,Lon,Population,DensityPerAcre
T0,47.7077223333333,-122.300467583333,4211.25,10
T1,47.7126365555555,-122.349328888889,5062.33333333333,10.5555555555556
T2,47.6817279090909,-122.373929909091,4998.45454545455,13.1818181818182
T3,47.6744413571428,-122.299587071429,5030.14285714286,18.0357142857143
T4,47.660876375,-122.33814175,4361.375,16.25
T5,47.6395991818182,-122.371025454545,5240.27272727273,15
T6,47.61593175,-122.317724428571,4290.17857142857,26.4285714285714
T7,47.5661171111111,-122.299557222222,5528.66666666667,10
T8,47.5531791666667,-122.382148,5497.08333333333,10.4166666666667
T9,47.527535,-122.297575111111,6215.77777777778,10.5555555555556
