1,626,30
2,575,34
3,497,16
4,447,27
5,406,60
6,443,73
7,520,76
8,533,117
9,599,80
10,653,104
11,596,121.5
12,419,124
13,477,138
14,477,175
15,428,164
16,367,160
17,328,168
18,531,169
19,568,168
20,606,172
21,655,172
22,643.5,224
23,697,238
24,580.5,223.5
25,604,266
26,511,207
27,456,215
28,424,214
29,386,215
30,336,216
31,645,278
32,567,299.5
33,531,267
34,501,285
35,434,262
36,377,269
37,322,264
38,678,308
39,578,333
40,537,324
41,507,330
42,464,325
43,426,317
44,484,356
45,310,348
46,344,352
47,295,395
48,403,377
49,449,394
50,536,390
51,588,414
52,651,430
53,535,443
54,360,407
55,405,433
56,437,426
57,467,442
58,433,461
59,428,483
60,585,458
61,566.5,490.5
62,516.5,495
63,466.333333333333,517.666666666667
64,591.5,508.5
65,636,526
66,514.25,535.75
67,609,550
68,565,555
69,524.333333333333,577.333333333333
70,578,586
71,615,596
72,567,638
73,533,656
74,623,662
75,578,702
76,644,728
77,342,641
78,284,696
79,323,703
80,359,703
81,401,725
82,353,766
83,345,810
84,401,822
85,437,814
86,538,817
87,593,781
88,651,781
89,691,788
90,679.5,843.5
91,624,840
92,348,884
93,380,883
94,420,905
95,460,902
96,367,958
97,536,901
98,653,913
99,696,914
100,723,990
