Tract,UVX,UVY
0,533.0,117.0
1,678.0,308.0
2,594.0,291.0
3,378.0,283.0
4,451.0,331.0
5,568.0,315.0
6,578.0,333.0
7,467.0,442.0
8,428.0,483.0
9,470.0,510.0
10,505.0,498.0
11,528.0,492.0
12,457.0,514.0
13,492.0,553.0
14,515.0,538.0
15,528.0,521.0
16,525.0,563.0
17,533.0,656.0
18,577.0,702.0
19,538.0,817.0
