0,900,1601,957,1694,1694,1824,706,1367,957,1367,1694,957,706,900,706,706,957,435,706
900,0,1601,957,1694,1694,1824,706,1367,957,1367,1694,957,706,900,706,706,957,435,706
1601,1601,0,1702,2690,2690,2932,1220,2229,1702,2229,2690,1702,1220,1601,1220,1220,1702,832,1220
957,957,1702,0,1795,1795,1925,756,1454,1014,1454,1795,1014,756,957,756,756,1014,481,756
1694,1694,2690,1795,0,2816,3072,1313,2334,1795,2334,2816,1795,1313,1694,1313,1313,1795,888,1313
1694,1694,2690,1795,2816,0,3072,1313,2334,1795,2334,2816,1795,1313,1694,1313,1313,1795,888,1313
1824,1824,2932,1925,3072,3072,0,1439,2478,1925,2478,3072,1925,1439,1824,1439,1439,1925,1007,1439
706,706,1220,756,1313,1313,1439,0,1007,756,1007,1313,756,512,706,512,512,756,367,512
1367,1367,2229,1454,2334,2334,2478,1007,0,1454,1894,2334,1454,1007,1367,1007,1007,1454,657,1007
957,957,1702,1014,1795,1795,1925,756,1454,0,1454,1795,1014,756,957,756,756,1014,481,756
1367,1367,2229,1454,2334,2334,2478,1007,1894,1454,0,2334,1454,1007,1367,1007,1007,1454,657,1007
1694,1694,2690,1795,2816,2816,3072,1313,2334,1795,2334,0,1795,1313,1694,1313,1313,1795,888,1313
957,957,1702,1014,1795,1795,1925,756,1454,1014,1454,1795,0,756,957,756,756,1014,481,756
706,706,1220,756,1313,1313,1439,512,1007,756,1007,1313,756,0,706,512,512,756,367,512
900,900,1601,957,1694,1694,1824,706,1367,957,1367,1694,957,706,0,706,706,957,435,706
706,706,1220,756,1313,1313,1439,512,1007,756,1007,1313,756,512,706,0,512,756,367,512
706,706,1220,756,1313,1313,1439,512,1007,756,1007,1313,756,512,706,512,0,756,367,512
957,957,1702,1014,1795,1795,1925,756,1454,1014,1454,1795,1014,756,957,756,756,0,481,756
435,435,832,481,888,888,1007,367,657,481,657,888,481,367,435,367,367,481,0,367
706,706,1220,756,1313,1313,1439,512,1007,756,1007,1313,756,512,706,512,512,756,367,0
