1,600.5,32
2,472,21.5
3,424.5,66.5
4,526.5,96.5
5,635,96
6,596,121.5
7,521,188
8,477,156.5
9,423.5,144
10,347.5,164
11,645.5,190.5
12,587,170
13,440,214.5
14,361,215.5
15,674,238.5
16,603.5,232
17,548.5,236
18,434,262
19,377,269
20,322,264
21,645,278
22,678,308
23,580,287.5
24,517,285.5
25,573,324
26,522,327
27,480.5,337.5
28,438.5,324
29,327,350
30,295,395
31,651,430
32,531,410.5
33,586.5,436
34,403,377
35,360,407
36,430.333333333333,417.666666666667
37,442.666666666667,462
38,549,474.5
39,593,493
40,516.5,495
41,466.333333333333,517.666666666667
42,514.25,535.75
43,577.5,537.5
44,622.5,538
45,531,571.25
46,596.5,591
47,533,656
48,623,662
49,572.5,670
50,342,641
51,303.5,699.5
52,380,714
53,349,788
54,401,822
55,437,814
56,364,883.5
57,367,958
58,420,905
59,460,902
60,536,901
61,644,728
62,593,781
63,538,817
64,651,781
65,691,788
66,679.5,843.5
67,624,840
68,653,913
69,696,914
70,723,990
