0,123,98,393,227,110,183,51,124,38,49,23,5,8,74,69,123,16,192,63,27,71,305,38,482,89,54,52,115,4,22,116,39,40,19,101,213,47,30,232,214,982,47,39,454,61,374,2,42,1,16,0,14,41,1,46,0,2,0,7,20,12,88,1,6,0,56,13,12,15
123,0,146,161,95,0,37,59,106,28,0,9,21,30,26,3,82,40,83,14,10,96,77,6,109,36,42,103,4,0,37,60,4,13,65,61,146,44,10,107,148,649,33,1,153,9,188,14,13,0,0,6,0,0,6,3,24,0,11,45,0,7,105,0,0,0,12,0,0,0
98,146,0,341,39,0,171,30,79,2,23,17,18,39,24,0,93,19,146,32,26,22,29,0,110,51,76,121,68,2,4,114,34,16,36,10,187,34,3,103,300,621,30,0,128,0,119,40,0,0,0,35,32,15,11,0,0,4,0,5,3,23,61,7,3,26,0,0,0,0
393,161,341,0,201,181,256,267,295,80,112,108,173,125,125,16,125,47,196,176,88,98,301,109,456,31,73,119,91,26,15,141,87,33,124,115,327,30,88,177,458,1023,60,16,467,71,322,27,60,13,13,57,120,18,27,22,5,37,20,55,3,11,160,61,0,63,50,27,31,22
227,95,39,201,0,94,108,39,106,6,8,65,17,9,67,4,38,15,69,18,66,110,197,0,448,13,56,52,19,0,0,77,7,19,12,23,168,26,0,95,292,810,23,22,150,18,214,60,19,8,0,23,0,0,6,2,5,13,22,10,0,13,87,0,0,11,0,8,0,4
110,0,0,181,94,0,81,19,13,18,25,30,0,6,19,18,20,3,25,1,24,50,34,24,280,44,39,0,26,0,15,43,26,6,21,15,67,4,23,28,117,416,19,14,152,8,110,7,44,0,0,17,6,0,3,0,3,0,0,0,0,0,28,0,9,20,0,0,0,0
183,37,171,256,108,81,0,164,125,36,66,110,60,126,66,67,144,89,118,56,89,45,163,34,352,73,42,88,20,0,11,57,87,25,34,68,176,25,19,181,293,839,38,33,150,5,169,21,0,0,66,32,58,15,13,9,0,25,16,14,28,50,76,0,9,3,15,18,18,22
51,59,30,267,39,19,164,0,57,8,33,21,85,28,31,16,63,28,77,24,22,28,139,0,203,52,108,103,47,6,10,72,4,12,33,14,204,56,52,189,305,874,15,33,183,11,230,0,39,32,7,105,72,0,21,8,0,0,0,19,0,0,98,0,0,52,3,0,28,14
124,106,79,295,106,13,125,57,0,68,26,50,118,48,37,5,43,29,288,87,16,24,85,0,201,65,124,198,122,16,18,220,0,24,33,63,341,33,0,238,409,975,39,8,288,46,235,45,21,11,0,64,49,0,74,0,20,25,11,9,0,0,136,0,0,5,29,38,36,6
38,28,2,80,6,18,36,8,68,0,1,22,37,110,12,0,6,9,233,61,0,30,0,0,126,52,34,107,32,13,2,19,10,36,32,47,119,26,0,147,149,630,2,0,105,0,175,4,17,0,8,19,17,0,5,24,0,22,0,21,0,1,42,5,0,0,0,0,0,0
49,0,23,112,8,25,66,33,26,1,0,101,5,0,104,23,55,0,62,4,81,92,219,0,595,32,27,13,0,20,3,39,31,38,0,10,125,30,16,125,269,794,41,10,239,28,118,12,16,0,0,33,0,9,4,7,0,0,11,11,14,0,16,0,0,3,17,0,0,0
23,9,17,108,65,30,110,21,50,22,101,0,5,11,57,40,74,33,22,0,87,75,79,11,251,40,64,19,11,4,3,67,22,41,17,41,122,21,10,291,199,718,26,9,197,6,177,3,28,0,0,5,7,6,38,1,0,0,0,3,7,0,93,5,0,10,0,34,23,8
5,21,18,173,17,0,60,85,118,37,5,5,0,58,0,52,107,93,138,40,7,30,79,0,335,15,137,115,44,15,0,115,30,23,81,103,218,37,18,162,265,1006,34,10,221,12,152,3,51,17,0,43,15,20,4,0,1,0,13,32,8,0,84,3,0,23,6,14,18,0
8,30,39,125,9,6,126,28,48,110,0,11,58,0,7,0,64,90,334,71,40,56,130,21,216,45,70,178,85,18,16,116,4,67,29,61,255,35,44,212,348,1118,9,28,290,31,287,14,0,9,0,24,8,7,14,14,0,0,17,31,0,5,81,0,0,0,11,0,25,0
74,26,24,125,67,19,66,31,37,12,104,57,0,7,0,32,68,20,70,0,87,121,241,28,399,64,26,12,16,0,0,116,24,10,21,0,26,22,50,63,89,424,18,39,82,7,87,3,62,1,0,9,0,0,0,0,21,0,4,12,0,4,28,12,0,0,0,5,0,0
69,3,0,16,4,18,67,16,5,0,23,40,52,0,32,0,32,23,5,9,51,41,159,14,358,15,25,26,0,2,15,62,35,15,16,5,106,18,26,75,70,441,25,23,65,9,137,0,37,0,0,11,12,0,3,0,11,0,0,0,35,0,53,0,0,0,10,5,16,3
