Tract,Lat,Lon,Population,DensityPerAcre
T0,47.727466,-122.291331,6255,15
T1,47.726673,-122.308734,7646,5
T2,47.730744,-122.335787,2603,5
T3,47.728213,-122.352721,5551,15
T4,47.720704,-122.366775,3165,5
T5,47.717678,-122.354194,4841,15
T6,47.717065,-122.327832,7626,5
T7,47.707498,-122.323153,6494,15
T8,47.716134,-122.300443,4438,15
T9,47.7104915,-122.2819885,2301,5
T10,47.706507,-122.301567,2222,5
T11,47.705858,-122.362327,4848,5
T12,47.702743,-122.342615,4340,15
T13,47.694097,-122.342534,4535,15
T14,47.696627,-122.359175,8052,15
T15,47.697634,-122.380292,4131,5
T16,47.695719,-122.393822,2454,5
T17,47.695513,-122.323998,4157,15
T18,47.695681,-122.311329,3406,15
T19,47.694821,-122.298121,3807,15
T20,47.694885,-122.281391,5286,5
T21,47.6826895,-122.285393,2872,15
T22,47.679508,-122.267008,2690,5
T23,47.682825,-122.3070435,3731,15
T24,47.6730455,-122.2989185,4553.5,23.75
T25,47.686776,-122.33065,5289,15
T26,47.684794,-122.349713,4481,15
T27,47.684992,-122.360637,4177,15
T28,47.684907,-122.373814,5637,15
T29,47.684716,-122.39089,6219,15
T30,47.670162,-122.284813,7618,15
T31,47.665244,-122.311593,6672.5,42.5
T32,47.67279,-122.3239045,4174,15
T33,47.66858,-122.334291,3251,5
T34,47.674042,-122.3572995,3619,15
T35,47.672365,-122.3767995,6481.5,15
T36,47.673431,-122.395863,7683,15
T37,47.663257,-122.273558,7789,5
T38,47.657659,-122.307672,5706,5
T39,47.659629,-122.321867,6076,25
T40,47.65822,-122.332125,3662,15
T41,47.659388,-122.3468875,4869.5,20
T42,47.661279,-122.359869,4539,15
T43,47.652156,-122.34002,4948,15
T44,47.653985,-122.399742,6001,5
T45,47.653269,-122.38808,4743,15
T46,47.643323,-122.405108,6382,5
T47,47.647372,-122.367765,6836,15
T48,47.64341,-122.351968,5150,15
T49,47.644485,-122.322206,4796,15
T50,47.638801,-122.304392,3848,5
T51,47.635231,-122.282652,4962,5
T52,47.6321205,-122.3226675,3848.5,15
T53,47.640497,-122.382497,5059,5
T54,47.634514,-122.367032,4080,15
T55,47.636139,-122.356331,2834,15
T56,47.632326,-122.346033,6544,25
T57,47.627864,-122.357485,6959,35
T58,47.622892,-122.359239,3055,15
T59,47.628706,-122.305264,3207,15
T60,47.621073,-122.311886,4890,30
T61,47.62012,-122.3288015,6852,42.5
T62,47.6148666666667,-122.346172333333,4639.66666666667,48.3333333333333
T63,47.616917,-122.3031315,4811.5,20
T64,47.612859,-122.288016,5145,5
T65,47.61060225,-122.329694,3403.75,36.25
T66,47.607321,-122.297209,3503,15
T67,47.606203,-122.3123235,4449,25
T68,47.601069,-122.326223,3224.66666666667,31.6666666666667
T69,47.599015,-122.307994,2925,15
T70,47.596588,-122.294969,4829,15
T71,47.587015,-122.311447,5700,15
T72,47.582761,-122.323247,2354,5
T73,47.581449,-122.292422,5906,5
T74,47.572267,-122.307988,8082,10
T75,47.56614,-122.285044,6553,15
T76,47.586207,-122.388979,5252,15
T77,47.573599,-122.408867,5290,15
T78,47.57187,-122.395527,5173,5
T79,47.571844,-122.382963,6198,15
T80,47.566734,-122.368564,4787,5
T81,47.557357,-122.385178,6342,15
T82,47.547132,-122.387843,7310,15
T83,47.544344,-122.368668,7064,10
T84,47.54611,-122.356282,4596,5
T85,47.545576,-122.321401,1287,5
T86,47.553752,-122.302714,9101,15
T87,47.55379,-122.282624,5940,15
T88,47.552304,-122.269128,4835,5
T89,47.539372,-122.2730815,4404.5,15
T90,47.54011,-122.292134,9013,15
T91,47.529865,-122.386954,6413,5
T92,47.530197,-122.375714,4191,15
T93,47.52523,-122.362027,8201,15
T94,47.525822,-122.34823,5984,5
T95,47.512891,-122.380237,3349,5
T96,47.526118,-122.322104,3906,5
T97,47.523278,-122.282106,5538,5
T98,47.523098,-122.267469,7383,15
T99,47.505415,-122.257943,7108,5
