Tract,Lat,Lon,Population,DensityPerAcre
T0,47.7270695,-122.3000325,6950.5,10
T1,47.7294785,-122.344254,4077,10
T2,47.719191,-122.3604845,4003,10
T3,47.7122815,-122.3254925,7060,10
T4,47.7123723333333,-122.28814,3013.33333333333,8.33333333333333
T5,47.706507,-122.301567,2222,5
T6,47.6911445,-122.327324,4723,15
T7,47.69842,-122.3425745,4437.5,15
T8,47.7012425,-122.360751,6450,10
T9,47.6966765,-122.387057,3292.5,5
T10,47.6905165,-122.284677,4129,10
T11,47.695251,-122.304725,3606.5,15
T12,47.684893,-122.355175,4329,15
T13,47.6848115,-122.382352,5928,15
T14,47.6793695,-122.2749155,2731,10
T15,47.68089,-122.2991425,2430,15
T16,47.6799455,-122.317985,5166,15
T17,47.674042,-122.3572995,3619,15
T18,47.672365,-122.3767995,6481.5,15
T19,47.673431,-122.395863,7683,15
T20,47.670162,-122.284813,7618,15
T21,47.663257,-122.273558,7789,5
T22,47.6680735,-122.3071545,6654.5,28.75
T23,47.6684755,-122.328739,2963.5,10
T24,47.6596395,-122.30942,6395.5,32.5
T25,47.6589245,-122.326996,4869,20
T26,47.656425,-122.3412425,4274,15
T27,47.6596805,-122.3555895,5339,20
T28,47.653627,-122.393911,5372,10
T29,47.643323,-122.405108,6382,5
T30,47.635231,-122.282652,4962,5
T31,47.6397415,-122.323985,4168,15
T32,47.6337535,-122.304828,3527.5,10
T33,47.647372,-122.367765,6836,15
T34,47.640497,-122.382497,5059,5
T35,47.638021,-122.358443666667,4021.33333333333,15
T36,47.627694,-122.354252333333,5519.33333333333,25
T37,47.624746,-122.317867,5219.5,25
T38,47.6205415,-122.302689,3987,20
T39,47.62012,-122.3288015,6852,42.5
T40,47.6148666666667,-122.346172333333,4639.66666666667,48.3333333333333
T41,47.61060225,-122.329694,3403.75,36.25
T42,47.6101835,-122.307959,4495,25
T43,47.61009,-122.2926125,4324,10
T44,47.6024735,-122.323973,3682.25,30
T45,47.5978015,-122.3014815,3877,15
T46,47.582761,-122.323247,2354,5
T47,47.581449,-122.292422,5906,5
T48,47.579641,-122.3097175,6891,12.5
T49,47.586207,-122.388979,5252,15
T50,47.5727345,-122.402197,5231.5,10
T51,47.569289,-122.3757635,5492.5,10
T52,47.5522445,-122.3865105,6826,15
T53,47.544344,-122.368668,7064,10
T54,47.54611,-122.356282,4596,5
T55,47.530031,-122.381334,5302,10
T56,47.512891,-122.380237,3349,5
T57,47.52523,-122.362027,8201,15
T58,47.525822,-122.34823,5984,5
T59,47.526118,-122.322104,3906,5
T60,47.56614,-122.285044,6553,15
T61,47.553752,-122.302714,9101,15
T62,47.545576,-122.321401,1287,5
T63,47.55379,-122.282624,5940,15
T64,47.552304,-122.269128,4835,5
T65,47.539372,-122.2730815,4404.5,15
T66,47.54011,-122.292134,9013,15
T67,47.523278,-122.282106,5538,5
T68,47.523098,-122.267469,7383,15
T69,47.505415,-122.257943,7108,5
